,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100045,106,203914,Gary Harris,1610612753,Orlando Magic,1,3,35,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-58,36,1,0,20211025,MIA,ORL
1,Shot Chart Detail,0022100045,280,203914,Gary Harris,1610612753,Orlando Magic,2,3,23,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,57,1,1,20211025,MIA,ORL
2,Shot Chart Detail,0022100045,289,203914,Gary Harris,1610612753,Orlando Magic,2,2,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,119,227,1,0,20211025,MIA,ORL
3,Shot Chart Detail,0022100055,179,203914,Gary Harris,1610612753,Orlando Magic,2,10,23,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,-103,215,1,0,20211027,ORL,CHA
4,Shot Chart Detail,0022100055,390,203914,Gary Harris,1610612753,Orlando Magic,3,6,5,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,71,1,0,20211027,ORL,CHA
5,Shot Chart Detail,0022100055,392,203914,Gary Harris,1610612753,Orlando Magic,3,6,2,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,43,1,1,20211027,ORL,CHA
6,Shot Chart Detail,0022100055,397,203914,Gary Harris,1610612753,Orlando Magic,3,5,44,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,31,1,1,20211027,ORL,CHA
7,Shot Chart Detail,0022100055,415,203914,Gary Harris,1610612753,Orlando Magic,3,4,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,224,59,1,1,20211027,ORL,CHA
8,Shot Chart Detail,0022100055,433,203914,Gary Harris,1610612753,Orlando Magic,3,3,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,200,176,1,0,20211027,ORL,CHA
9,Shot Chart Detail,0022100071,91,203914,Gary Harris,1610612753,Orlando Magic,1,4,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,189,28,1,1,20211029,TOR,ORL
10,Shot Chart Detail,0022100071,143,203914,Gary Harris,1610612753,Orlando Magic,1,0,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,183,221,1,0,20211029,TOR,ORL
11,Shot Chart Detail,0022100071,261,203914,Gary Harris,1610612753,Orlando Magic,2,4,4,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20211029,TOR,ORL
12,Shot Chart Detail,0022100071,307,203914,Gary Harris,1610612753,Orlando Magic,2,0,6,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,25,1,0,20211029,TOR,ORL
13,Shot Chart Detail,0022100071,309,203914,Gary Harris,1610612753,Orlando Magic,2,0,2,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211029,TOR,ORL
14,Shot Chart Detail,0022100071,374,203914,Gary Harris,1610612753,Orlando Magic,3,6,29,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,29,1,0,20211029,TOR,ORL
15,Shot Chart Detail,0022100071,412,203914,Gary Harris,1610612753,Orlando Magic,3,4,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,18,218,1,1,20211029,TOR,ORL
16,Shot Chart Detail,0022100071,443,203914,Gary Harris,1610612753,Orlando Magic,3,1,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,21,1,1,20211029,TOR,ORL
17,Shot Chart Detail,0022100071,489,203914,Gary Harris,1610612753,Orlando Magic,4,10,17,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,31,1,0,20211029,TOR,ORL
18,Shot Chart Detail,0022100071,526,203914,Gary Harris,1610612753,Orlando Magic,4,7,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,30,1,1,20211029,TOR,ORL
19,Shot Chart Detail,0022100071,555,203914,Gary Harris,1610612753,Orlando Magic,4,4,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,9,1,0,20211029,TOR,ORL
20,Shot Chart Detail,0022100079,69,203914,Gary Harris,1610612753,Orlando Magic,1,5,52,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-70,54,1,0,20211030,DET,ORL
21,Shot Chart Detail,0022100079,82,203914,Gary Harris,1610612753,Orlando Magic,1,4,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-190,165,1,0,20211030,DET,ORL
22,Shot Chart Detail,0022100079,92,203914,Gary Harris,1610612753,Orlando Magic,1,3,34,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,13,1,1,20211030,DET,ORL
23,Shot Chart Detail,0022100079,130,203914,Gary Harris,1610612753,Orlando Magic,1,1,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,4,1,0,20211030,DET,ORL
24,Shot Chart Detail,0022100079,164,203914,Gary Harris,1610612753,Orlando Magic,2,10,50,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,23,34,1,1,20211030,DET,ORL
25,Shot Chart Detail,0022100125,110,203914,Gary Harris,1610612753,Orlando Magic,1,3,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-112,84,1,0,20211105,ORL,SAS
26,Shot Chart Detail,0022100125,114,203914,Gary Harris,1610612753,Orlando Magic,1,2,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,16,1,1,20211105,ORL,SAS
27,Shot Chart Detail,0022100125,245,203914,Gary Harris,1610612753,Orlando Magic,2,4,59,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,21,134,1,0,20211105,ORL,SAS
28,Shot Chart Detail,0022100125,385,203914,Gary Harris,1610612753,Orlando Magic,3,7,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-176,188,1,0,20211105,ORL,SAS
29,Shot Chart Detail,0022100125,394,203914,Gary Harris,1610612753,Orlando Magic,3,6,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,28,270,1,0,20211105,ORL,SAS
30,Shot Chart Detail,0022100125,435,203914,Gary Harris,1610612753,Orlando Magic,3,3,56,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,178,94,1,0,20211105,ORL,SAS
31,Shot Chart Detail,0022100141,166,203914,Gary Harris,1610612753,Orlando Magic,2,11,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,118,137,1,1,20211107,ORL,UTA
32,Shot Chart Detail,0022100141,203,203914,Gary Harris,1610612753,Orlando Magic,2,8,14,Missed Shot,Layup Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-94,15,1,0,20211107,ORL,UTA
33,Shot Chart Detail,0022100141,303,203914,Gary Harris,1610612753,Orlando Magic,2,2,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,28,1,0,20211107,ORL,UTA
34,Shot Chart Detail,0022100141,477,203914,Gary Harris,1610612753,Orlando Magic,3,2,56,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-78,147,1,0,20211107,ORL,UTA
35,Shot Chart Detail,0022100141,529,203914,Gary Harris,1610612753,Orlando Magic,4,11,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,29,1,1,20211107,ORL,UTA
36,Shot Chart Detail,0022100141,548,203914,Gary Harris,1610612753,Orlando Magic,4,9,15,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,17,1,1,20211107,ORL,UTA
37,Shot Chart Detail,0022100141,562,203914,Gary Harris,1610612753,Orlando Magic,4,8,22,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,11,1,1,20211107,ORL,UTA
38,Shot Chart Detail,0022100159,126,203914,Gary Harris,1610612753,Orlando Magic,1,2,21,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,18,148,1,1,20211110,ORL,BKN
39,Shot Chart Detail,0022100159,162,203914,Gary Harris,1610612753,Orlando Magic,2,11,44,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,91,30,1,0,20211110,ORL,BKN
40,Shot Chart Detail,0022100159,231,203914,Gary Harris,1610612753,Orlando Magic,2,6,29,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,-6,1,0,20211110,ORL,BKN
41,Shot Chart Detail,0022100159,241,203914,Gary Harris,1610612753,Orlando Magic,2,5,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,13,1,0,20211110,ORL,BKN
42,Shot Chart Detail,0022100159,538,203914,Gary Harris,1610612753,Orlando Magic,4,11,36,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,173,-6,1,0,20211110,ORL,BKN
43,Shot Chart Detail,0022100159,596,203914,Gary Harris,1610612753,Orlando Magic,4,7,7,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,107,31,1,0,20211110,ORL,BKN
44,Shot Chart Detail,0022100187,157,203914,Gary Harris,1610612753,Orlando Magic,1,0,29,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,70,250,1,0,20211113,ORL,WAS
45,Shot Chart Detail,0022100187,446,203914,Gary Harris,1610612753,Orlando Magic,3,4,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,176,130,1,1,20211113,ORL,WAS
46,Shot Chart Detail,0022100187,456,203914,Gary Harris,1610612753,Orlando Magic,3,3,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,21,1,0,20211113,ORL,WAS
47,Shot Chart Detail,0022100187,462,203914,Gary Harris,1610612753,Orlando Magic,3,2,38,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,28,67,1,0,20211113,ORL,WAS
48,Shot Chart Detail,0022100202,17,203914,Gary Harris,1610612753,Orlando Magic,1,10,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-70,262,1,0,20211115,ATL,ORL
49,Shot Chart Detail,0022100202,75,203914,Gary Harris,1610612753,Orlando Magic,1,5,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,147,217,1,1,20211115,ATL,ORL
