,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100002,556,1627780,Gary Payton II,1610612744,Golden State Warriors,3,0,0,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,29,55,1,0,20211019,LAL,GSW
1,Shot Chart Detail,0022100039,120,1627780,Gary Payton II,1610612744,Golden State Warriors,1,1,38,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,8,1,1,20211024,SAC,GSW
2,Shot Chart Detail,0022100039,123,1627780,Gary Payton II,1610612744,Golden State Warriors,1,1,4,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,10,1,0,20211024,SAC,GSW
3,Shot Chart Detail,0022100039,465,1627780,Gary Payton II,1610612744,Golden State Warriors,3,1,43,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,6,1,0,20211024,SAC,GSW
4,Shot Chart Detail,0022100039,481,1627780,Gary Payton II,1610612744,Golden State Warriors,3,0,39,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,1,20211024,SAC,GSW
5,Shot Chart Detail,0022100039,522,1627780,Gary Payton II,1610612744,Golden State Warriors,4,10,55,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,26,1,1,20211024,SAC,GSW
6,Shot Chart Detail,0022100039,539,1627780,Gary Payton II,1610612744,Golden State Warriors,4,8,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,158,189,1,1,20211024,SAC,GSW
7,Shot Chart Detail,0022100051,109,1627780,Gary Payton II,1610612744,Golden State Warriors,1,2,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,168,204,1,1,20211026,OKC,GSW
8,Shot Chart Detail,0022100086,577,1627780,Gary Payton II,1610612744,Golden State Warriors,4,4,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,20,1,1,20211030,GSW,OKC
9,Shot Chart Detail,0022100117,132,1627780,Gary Payton II,1610612744,Golden State Warriors,1,1,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-143,212,1,0,20211103,GSW,CHA
10,Shot Chart Detail,0022100117,136,1627780,Gary Payton II,1610612744,Golden State Warriors,1,1,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,15,1,1,20211103,GSW,CHA
11,Shot Chart Detail,0022100117,443,1627780,Gary Payton II,1610612744,Golden State Warriors,3,4,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,32,1,1,20211103,GSW,CHA
12,Shot Chart Detail,0022100117,460,1627780,Gary Payton II,1610612744,Golden State Warriors,3,3,9,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,32,40,1,1,20211103,GSW,CHA
13,Shot Chart Detail,0022100117,488,1627780,Gary Payton II,1610612744,Golden State Warriors,3,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,17,250,1,0,20211103,GSW,CHA
14,Shot Chart Detail,0022100117,562,1627780,Gary Payton II,1610612744,Golden State Warriors,4,7,22,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211103,GSW,CHA
15,Shot Chart Detail,0022100117,579,1627780,Gary Payton II,1610612744,Golden State Warriors,4,6,28,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211103,GSW,CHA
16,Shot Chart Detail,0022100117,585,1627780,Gary Payton II,1610612744,Golden State Warriors,4,6,14,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,14,1,1,20211103,GSW,CHA
17,Shot Chart Detail,0022100117,611,1627780,Gary Payton II,1610612744,Golden State Warriors,4,4,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,16,1,1,20211103,GSW,CHA
18,Shot Chart Detail,0022100130,102,1627780,Gary Payton II,1610612744,Golden State Warriors,1,4,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,19,1,0,20211105,GSW,NOP
19,Shot Chart Detail,0022100130,121,1627780,Gary Payton II,1610612744,Golden State Warriors,1,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-174,197,1,0,20211105,GSW,NOP
20,Shot Chart Detail,0022100130,129,1627780,Gary Payton II,1610612744,Golden State Warriors,1,2,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,234,55,1,1,20211105,GSW,NOP
21,Shot Chart Detail,0022100130,417,1627780,Gary Payton II,1610612744,Golden State Warriors,3,5,14,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,32,1,1,20211105,GSW,NOP
22,Shot Chart Detail,0022100130,434,1627780,Gary Payton II,1610612744,Golden State Warriors,3,4,27,Made Shot,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-5,42,1,1,20211105,GSW,NOP
23,Shot Chart Detail,0022100130,477,1627780,Gary Payton II,1610612744,Golden State Warriors,3,1,36,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,8,1,0,20211105,GSW,NOP
24,Shot Chart Detail,0022100130,493,1627780,Gary Payton II,1610612744,Golden State Warriors,3,0,54,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-36,37,1,1,20211105,GSW,NOP
25,Shot Chart Detail,0022100130,608,1627780,Gary Payton II,1610612744,Golden State Warriors,4,5,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,10,1,1,20211105,GSW,NOP
26,Shot Chart Detail,0022100130,622,1627780,Gary Payton II,1610612744,Golden State Warriors,4,4,2,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211105,GSW,NOP
27,Shot Chart Detail,0022100130,650,1627780,Gary Payton II,1610612744,Golden State Warriors,4,1,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,21,1,1,20211105,GSW,NOP
28,Shot Chart Detail,0022100145,108,1627780,Gary Payton II,1610612744,Golden State Warriors,1,4,4,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,0,20211107,GSW,HOU
29,Shot Chart Detail,0022100145,146,1627780,Gary Payton II,1610612744,Golden State Warriors,1,2,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,21,1,1,20211107,GSW,HOU
30,Shot Chart Detail,0022100145,314,1627780,Gary Payton II,1610612744,Golden State Warriors,2,4,29,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-38,65,1,1,20211107,GSW,HOU
31,Shot Chart Detail,0022100145,331,1627780,Gary Payton II,1610612744,Golden State Warriors,2,2,58,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20211107,GSW,HOU
32,Shot Chart Detail,0022100145,482,1627780,Gary Payton II,1610612744,Golden State Warriors,3,4,8,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20211107,GSW,HOU
33,Shot Chart Detail,0022100145,499,1627780,Gary Payton II,1610612744,Golden State Warriors,3,3,1,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,14,1,1,20211107,GSW,HOU
34,Shot Chart Detail,0022100152,144,1627780,Gary Payton II,1610612744,Golden State Warriors,1,1,46,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,27,1,1,20211108,GSW,ATL
