,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,149,201588,George Hill,1610612749,Milwaukee Bucks,1,1,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-61,283,1,0,20211019,MIL,BKN
1,Shot Chart Detail,0022100001,283,201588,George Hill,1610612749,Milwaukee Bucks,2,3,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-42,267,1,0,20211019,MIL,BKN
2,Shot Chart Detail,0022100001,523,201588,George Hill,1610612749,Milwaukee Bucks,4,11,44,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211019,MIL,BKN
3,Shot Chart Detail,0022100015,55,201588,George Hill,1610612749,Milwaukee Bucks,1,7,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,1,1,0,20211021,MIA,MIL
4,Shot Chart Detail,0022100015,204,201588,George Hill,1610612749,Milwaukee Bucks,2,10,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,34,1,1,20211021,MIA,MIL
5,Shot Chart Detail,0022100015,212,201588,George Hill,1610612749,Milwaukee Bucks,2,10,17,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,5,1,1,20211021,MIA,MIL
6,Shot Chart Detail,0022100015,268,201588,George Hill,1610612749,Milwaukee Bucks,2,7,10,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,30,1,0,20211021,MIA,MIL
7,Shot Chart Detail,0022100015,286,201588,George Hill,1610612749,Milwaukee Bucks,2,5,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,218,122,1,0,20211021,MIA,MIL
8,Shot Chart Detail,0022100015,443,201588,George Hill,1610612749,Milwaukee Bucks,3,9,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-6,259,1,0,20211021,MIA,MIL
9,Shot Chart Detail,0022100015,450,201588,George Hill,1610612749,Milwaukee Bucks,3,7,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-91,253,1,1,20211021,MIA,MIL
