,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,11,201609,Goran Dragic,1610612761,Toronto Raptors,1,11,6,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,70,144,1,1,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,181,201609,Goran Dragic,1610612761,Toronto Raptors,2,11,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,13,1,1,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,204,201609,Goran Dragic,1610612761,Toronto Raptors,2,9,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-45,269,1,1,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,229,201609,Goran Dragic,1610612761,Toronto Raptors,2,8,38,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,17,1,0,20211020,TOR,WAS
4,Shot Chart Detail,0022100006,260,201609,Goran Dragic,1610612761,Toronto Raptors,2,7,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-192,179,1,0,20211020,TOR,WAS
5,Shot Chart Detail,0022100006,289,201609,Goran Dragic,1610612761,Toronto Raptors,2,5,26,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,45,47,1,0,20211020,TOR,WAS
6,Shot Chart Detail,0022100006,413,201609,Goran Dragic,1610612761,Toronto Raptors,3,8,32,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,49,109,1,0,20211020,TOR,WAS
7,Shot Chart Detail,0022100020,127,201609,Goran Dragic,1610612761,Toronto Raptors,1,2,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-164,211,1,1,20211022,BOS,TOR
8,Shot Chart Detail,0022100020,160,201609,Goran Dragic,1610612761,Toronto Raptors,1,0,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,24,1,0,20211022,BOS,TOR
9,Shot Chart Detail,0022100020,162,201609,Goran Dragic,1610612761,Toronto Raptors,1,0,18,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,19,1,1,20211022,BOS,TOR
10,Shot Chart Detail,0022100020,172,201609,Goran Dragic,1610612761,Toronto Raptors,2,11,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,168,192,1,0,20211022,BOS,TOR
11,Shot Chart Detail,0022100020,177,201609,Goran Dragic,1610612761,Toronto Raptors,2,11,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-112,66,1,0,20211022,BOS,TOR
12,Shot Chart Detail,0022100020,557,201609,Goran Dragic,1610612761,Toronto Raptors,4,7,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,38,1,0,20211022,BOS,TOR
13,Shot Chart Detail,0022100029,174,201609,Goran Dragic,1610612761,Toronto Raptors,2,11,12,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,73,1,0,20211023,TOR,DAL
14,Shot Chart Detail,0022100029,288,201609,Goran Dragic,1610612761,Toronto Raptors,2,4,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,20,109,1,1,20211023,TOR,DAL
15,Shot Chart Detail,0022100029,537,201609,Goran Dragic,1610612761,Toronto Raptors,4,10,30,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-17,142,1,0,20211023,TOR,DAL
16,Shot Chart Detail,0022100046,145,201609,Goran Dragic,1610612761,Toronto Raptors,1,0,39,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,0,1,0,20211025,TOR,CHI
17,Shot Chart Detail,0022100046,167,201609,Goran Dragic,1610612761,Toronto Raptors,2,10,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,0,20211025,TOR,CHI
18,Shot Chart Detail,0022100046,169,201609,Goran Dragic,1610612761,Toronto Raptors,2,10,27,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-240,-1,1,0,20211025,TOR,CHI
19,Shot Chart Detail,0022100046,470,201609,Goran Dragic,1610612761,Toronto Raptors,3,0,0,Missed Shot,Driving Floating Jump Shot,3PT Field Goal,Above the Break 3,Back Court(BC),Back Court Shot,41,27,417,1,0,20211025,TOR,CHI
20,Shot Chart Detail,0022100046,499,201609,Goran Dragic,1610612761,Toronto Raptors,4,10,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,27,256,1,0,20211025,TOR,CHI
21,Shot Chart Detail,0022100046,532,201609,Goran Dragic,1610612761,Toronto Raptors,4,7,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,5,1,1,20211025,TOR,CHI
22,Shot Chart Detail,0022100189,13,201609,Goran Dragic,1610612761,Toronto Raptors,1,11,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,136,227,1,0,20211113,TOR,DET
