,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100503,214,202328,Greg Monroe,1610612750,Minnesota Timberwolves,2,9,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-4,1,1,20211227,MIN,BOS
1,Shot Chart Detail,0022100503,233,202328,Greg Monroe,1610612750,Minnesota Timberwolves,2,8,9,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,83,0,1,0,20211227,MIN,BOS
2,Shot Chart Detail,0022100503,237,202328,Greg Monroe,1610612750,Minnesota Timberwolves,2,7,36,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,46,1,0,20211227,MIN,BOS
3,Shot Chart Detail,0022100503,269,202328,Greg Monroe,1610612750,Minnesota Timberwolves,2,5,37,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211227,MIN,BOS
4,Shot Chart Detail,0022100503,506,202328,Greg Monroe,1610612750,Minnesota Timberwolves,4,11,15,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,14,1,1,20211227,MIN,BOS
5,Shot Chart Detail,0022100503,575,202328,Greg Monroe,1610612750,Minnesota Timberwolves,4,5,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211227,MIN,BOS
6,Shot Chart Detail,0022100503,589,202328,Greg Monroe,1610612750,Minnesota Timberwolves,4,4,34,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,1,20211227,MIN,BOS
7,Shot Chart Detail,0022100503,609,202328,Greg Monroe,1610612750,Minnesota Timberwolves,4,2,34,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,55,1,0,20211227,MIN,BOS
8,Shot Chart Detail,0022100503,612,202328,Greg Monroe,1610612750,Minnesota Timberwolves,4,2,29,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-12,93,1,0,20211227,MIN,BOS
9,Shot Chart Detail,0022100512,185,202328,Greg Monroe,1610612750,Minnesota Timberwolves,2,8,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,5,1,1,20211228,MIN,NYK
10,Shot Chart Detail,0022100512,500,202328,Greg Monroe,1610612750,Minnesota Timberwolves,4,10,44,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,26,1,1,20211228,MIN,NYK
11,Shot Chart Detail,0022100512,577,202328,Greg Monroe,1610612750,Minnesota Timberwolves,4,5,7,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,15,1,1,20211228,MIN,NYK
12,Shot Chart Detail,0022100537,142,202328,Greg Monroe,1610612750,Minnesota Timberwolves,1,1,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,19,1,1,20211231,UTA,MIN
13,Shot Chart Detail,0022100537,483,202328,Greg Monroe,1610612750,Minnesota Timberwolves,3,2,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,94,181,1,0,20211231,UTA,MIN
14,Shot Chart Detail,0022100585,188,202328,Greg Monroe,1610612764,Washington Wizards,2,10,41,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,28,42,1,0,20220107,CHI,WAS
15,Shot Chart Detail,0022100585,208,202328,Greg Monroe,1610612764,Washington Wizards,2,9,13,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220107,CHI,WAS
16,Shot Chart Detail,0022100585,211,202328,Greg Monroe,1610612764,Washington Wizards,2,9,7,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220107,CHI,WAS
17,Shot Chart Detail,0022100585,527,202328,Greg Monroe,1610612764,Washington Wizards,4,9,54,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20220107,CHI,WAS
18,Shot Chart Detail,0022100585,543,202328,Greg Monroe,1610612764,Washington Wizards,4,8,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,21,1,0,20220107,CHI,WAS
19,Shot Chart Detail,0022100585,642,202328,Greg Monroe,1610612764,Washington Wizards,4,2,5,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,4,1,1,20220107,CHI,WAS
20,Shot Chart Detail,0022100585,666,202328,Greg Monroe,1610612764,Washington Wizards,4,0,31,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220107,CHI,WAS
21,Shot Chart Detail,0022100598,475,202328,Greg Monroe,1610612764,Washington Wizards,3,1,1,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,20,84,1,0,20220109,ORL,WAS
22,Shot Chart Detail,0022100800,100,202328,Greg Monroe,1610612749,Milwaukee Bucks,1,4,28,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220205,POR,MIL
23,Shot Chart Detail,0022100800,103,202328,Greg Monroe,1610612749,Milwaukee Bucks,1,4,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,4,1,0,20220205,POR,MIL
24,Shot Chart Detail,0022100800,167,202328,Greg Monroe,1610612749,Milwaukee Bucks,1,0,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,22,1,0,20220205,POR,MIL
25,Shot Chart Detail,0022100800,297,202328,Greg Monroe,1610612749,Milwaukee Bucks,2,3,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,1,20220205,POR,MIL
26,Shot Chart Detail,0022100800,305,202328,Greg Monroe,1610612749,Milwaukee Bucks,2,3,11,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,18,1,0,20220205,POR,MIL
27,Shot Chart Detail,0022100800,538,202328,Greg Monroe,1610612749,Milwaukee Bucks,4,11,27,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-29,58,1,1,20220205,POR,MIL
28,Shot Chart Detail,0022100800,570,202328,Greg Monroe,1610612749,Milwaukee Bucks,4,9,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,-1,1,0,20220205,POR,MIL
