,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100004,161,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,0,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,5,1,0,20211020,DET,CHI
1,Shot Chart Detail,0022100004,190,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,9,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,109,5,1,0,20211020,DET,CHI
2,Shot Chart Detail,0022100004,473,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,11,14,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,44,1,1,20211020,DET,CHI
3,Shot Chart Detail,0022100004,494,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,9,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,0,1,0,20211020,DET,CHI
4,Shot Chart Detail,0022100004,508,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,8,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20211020,DET,CHI
5,Shot Chart Detail,0022100030,194,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,10,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,1,1,1,20211023,CHI,DET
6,Shot Chart Detail,0022100030,508,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,0,12,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,6,1,0,20211023,CHI,DET
7,Shot Chart Detail,0022100030,522,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,11,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,5,1,1,20211023,CHI,DET
8,Shot Chart Detail,0022100030,546,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,9,20,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-18,1,0,20211023,CHI,DET
9,Shot Chart Detail,0022100043,164,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,0,55,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20211025,ATL,DET
10,Shot Chart Detail,0022100043,205,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,10,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,8,1,0,20211025,ATL,DET
11,Shot Chart Detail,0022100043,509,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,9,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,132,223,1,0,20211025,ATL,DET
12,Shot Chart Detail,0022100065,224,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,6,58,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,28,1,0,20211028,PHI,DET
13,Shot Chart Detail,0022100065,229,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,6,55,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211028,PHI,DET
14,Shot Chart Detail,0022100065,227,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,6,55,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-39,-1,1,0,20211028,PHI,DET
15,Shot Chart Detail,0022100092,15,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,10,51,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-25,116,1,0,20211031,BKN,DET
16,Shot Chart Detail,0022100092,27,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,9,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,119,219,1,0,20211031,BKN,DET
17,Shot Chart Detail,0022100092,32,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,8,52,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-6,1,0,20211031,BKN,DET
18,Shot Chart Detail,0022100092,293,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,10,58,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,0,20211031,BKN,DET
19,Shot Chart Detail,0022100092,298,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,10,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,-4,1,1,20211031,BKN,DET
20,Shot Chart Detail,0022100092,543,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,4,39,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,8,1,1,20211031,BKN,DET
21,Shot Chart Detail,0022100103,649,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,5,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,12,1,1,20211102,DET,MIL
22,Shot Chart Detail,0022100103,684,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,3,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,8,1,0,20211102,DET,MIL
23,Shot Chart Detail,0022100103,711,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,0,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20211102,DET,MIL
24,Shot Chart Detail,0022100200,560,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,6,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-10,1,0,20211115,DET,SAC
25,Shot Chart Detail,0022100200,598,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,3,50,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,21,1,1,20211115,DET,SAC
26,Shot Chart Detail,0022100200,603,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,3,6,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,31,1,1,20211115,DET,SAC
27,Shot Chart Detail,0022100200,637,1628977,Hamidou Diallo,1610612765,Detroit Pistons,4,1,27,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,50,1,1,20211115,DET,SAC
28,Shot Chart Detail,0022100214,131,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,1,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,20,1,1,20211117,DET,IND
29,Shot Chart Detail,0022100231,139,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,1,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,0,20211119,DET,GSW
30,Shot Chart Detail,0022100231,280,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,9,19,Missed Shot,Tip Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,36,1,0,20211119,DET,GSW
31,Shot Chart Detail,0022100231,203,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,9,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,15,1,1,20211119,DET,GSW
32,Shot Chart Detail,0022100231,458,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,2,48,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211119,DET,GSW
33,Shot Chart Detail,0022100231,484,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,1,1,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,5,1,1,20211119,DET,GSW
34,Shot Chart Detail,0022100249,130,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,1,38,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,10,88,1,0,20211121,DET,LAL
35,Shot Chart Detail,0022100249,159,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,11,44,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,39,1,0,20211121,DET,LAL
36,Shot Chart Detail,0022100249,161,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,11,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,10,1,1,20211121,DET,LAL
37,Shot Chart Detail,0022100249,165,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,10,58,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,1,20211121,DET,LAL
38,Shot Chart Detail,0022100249,204,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,8,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,13,1,1,20211121,DET,LAL
39,Shot Chart Detail,0022100249,214,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,7,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,212,154,1,1,20211121,DET,LAL
40,Shot Chart Detail,0022100249,218,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,7,28,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,6,1,1,20211121,DET,LAL
41,Shot Chart Detail,0022100249,456,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,4,39,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,6,1,1,20211121,DET,LAL
42,Shot Chart Detail,0022100249,499,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,1,41,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211121,DET,LAL
43,Shot Chart Detail,0022100263,151,1628977,Hamidou Diallo,1610612765,Detroit Pistons,1,0,17,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,37,1,1,20211123,DET,MIA
44,Shot Chart Detail,0022100263,162,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,11,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-180,214,1,0,20211123,DET,MIA
45,Shot Chart Detail,0022100263,189,1628977,Hamidou Diallo,1610612765,Detroit Pistons,2,8,53,Made Shot,Running Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,21,1,1,20211123,DET,MIA
46,Shot Chart Detail,0022100263,441,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,1,44,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,31,1,1,20211123,DET,MIA
47,Shot Chart Detail,0022100263,464,1628977,Hamidou Diallo,1610612765,Detroit Pistons,3,0,0,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,13,1,1,20211123,DET,MIA
