,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,103,202355,Hassan Whiteside,1610612762,Utah Jazz,1,3,29,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-80,53,1,0,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,258,202355,Hassan Whiteside,1610612762,Utah Jazz,2,4,35,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,61,86,1,0,20211020,UTA,OKC
2,Shot Chart Detail,0022100011,587,202355,Hassan Whiteside,1610612762,Utah Jazz,4,4,25,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-55,50,1,1,20211020,UTA,OKC
3,Shot Chart Detail,0022100011,616,202355,Hassan Whiteside,1610612762,Utah Jazz,4,2,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,27,1,1,20211020,UTA,OKC
4,Shot Chart Detail,0022100026,79,202355,Hassan Whiteside,1610612762,Utah Jazz,1,6,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20211022,SAC,UTA
5,Shot Chart Detail,0022100026,104,202355,Hassan Whiteside,1610612762,Utah Jazz,1,3,53,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,4,1,0,20211022,SAC,UTA
6,Shot Chart Detail,0022100026,257,202355,Hassan Whiteside,1610612762,Utah Jazz,2,5,20,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20211022,SAC,UTA
7,Shot Chart Detail,0022100026,595,202355,Hassan Whiteside,1610612762,Utah Jazz,4,8,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,29,1,1,20211022,SAC,UTA
8,Shot Chart Detail,0022100054,80,202355,Hassan Whiteside,1610612762,Utah Jazz,1,4,46,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,18,1,1,20211026,UTA,DEN
9,Shot Chart Detail,0022100054,85,202355,Hassan Whiteside,1610612762,Utah Jazz,1,3,55,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,22,1,1,20211026,UTA,DEN
10,Shot Chart Detail,0022100054,102,202355,Hassan Whiteside,1610612762,Utah Jazz,1,3,12,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-44,95,1,0,20211026,UTA,DEN
11,Shot Chart Detail,0022100054,239,202355,Hassan Whiteside,1610612762,Utah Jazz,2,5,57,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,23,1,1,20211026,UTA,DEN
12,Shot Chart Detail,0022100054,388,202355,Hassan Whiteside,1610612762,Utah Jazz,3,5,33,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,51,1,0,20211026,UTA,DEN
13,Shot Chart Detail,0022100054,549,202355,Hassan Whiteside,1610612762,Utah Jazz,4,6,39,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,17,1,1,20211026,UTA,DEN
14,Shot Chart Detail,0022100068,258,202355,Hassan Whiteside,1610612762,Utah Jazz,2,5,40,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,16,1,1,20211028,HOU,UTA
15,Shot Chart Detail,0022100068,278,202355,Hassan Whiteside,1610612762,Utah Jazz,2,4,8,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20211028,HOU,UTA
16,Shot Chart Detail,0022100068,414,202355,Hassan Whiteside,1610612762,Utah Jazz,3,7,1,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,64,40,1,1,20211028,HOU,UTA
17,Shot Chart Detail,0022100068,433,202355,Hassan Whiteside,1610612762,Utah Jazz,3,6,1,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20211028,HOU,UTA
18,Shot Chart Detail,0022100068,600,202355,Hassan Whiteside,1610612762,Utah Jazz,4,6,1,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,27,1,0,20211028,HOU,UTA
19,Shot Chart Detail,0022100083,225,202355,Hassan Whiteside,1610612762,Utah Jazz,2,7,38,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,67,6,1,1,20211030,CHI,UTA
20,Shot Chart Detail,0022100083,266,202355,Hassan Whiteside,1610612762,Utah Jazz,2,4,26,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20211030,CHI,UTA
21,Shot Chart Detail,0022100083,421,202355,Hassan Whiteside,1610612762,Utah Jazz,3,5,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,0,20211030,CHI,UTA
22,Shot Chart Detail,0022100083,449,202355,Hassan Whiteside,1610612762,Utah Jazz,3,3,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,0,20211030,CHI,UTA
23,Shot Chart Detail,0022100091,88,202355,Hassan Whiteside,1610612762,Utah Jazz,1,4,10,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211031,MIL,UTA
24,Shot Chart Detail,0022100091,138,202355,Hassan Whiteside,1610612762,Utah Jazz,1,0,48,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,0,95,1,1,20211031,MIL,UTA
