,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100532,126,1629312,Haywood Highsmith,1610612748,Miami Heat,1,2,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,21,1,1,20211231,HOU,MIA
1,Shot Chart Detail,0022100532,454,1629312,Haywood Highsmith,1610612748,Miami Heat,3,4,6,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211231,HOU,MIA
2,Shot Chart Detail,0022100532,461,1629312,Haywood Highsmith,1610612748,Miami Heat,3,3,48,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,17,1,1,20211231,HOU,MIA
3,Shot Chart Detail,0022100532,475,1629312,Haywood Highsmith,1610612748,Miami Heat,3,1,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,10,1,1,20211231,HOU,MIA
4,Shot Chart Detail,0022100548,456,1629312,Haywood Highsmith,1610612748,Miami Heat,3,1,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,9,1,0,20220102,SAC,MIA
5,Shot Chart Detail,0022100576,302,1629312,Haywood Highsmith,1610612748,Miami Heat,2,1,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,224,17,1,1,20220105,POR,MIA
6,Shot Chart Detail,0022100576,462,1629312,Haywood Highsmith,1610612748,Miami Heat,3,1,31,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,189,180,1,0,20220105,POR,MIA
7,Shot Chart Detail,0022100596,652,1629312,Haywood Highsmith,1610612748,Miami Heat,4,1,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,25,1,0,20220108,PHX,MIA
8,Shot Chart Detail,0022100868,81,1629312,Haywood Highsmith,1610612748,Miami Heat,1,4,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-21,1,0,20220215,MIA,DAL
9,Shot Chart Detail,0022100868,92,1629312,Haywood Highsmith,1610612748,Miami Heat,1,4,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,1,1,1,20220215,MIA,DAL
