,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100005,156,1630193,Immanuel Quickley,1610612752,New York Knicks,1,0,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,112,222,1,0,20211020,NYK,BOS
1,Shot Chart Detail,0022100005,193,1630193,Immanuel Quickley,1610612752,New York Knicks,2,9,28,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,20,156,1,1,20211020,NYK,BOS
2,Shot Chart Detail,0022100005,196,1630193,Immanuel Quickley,1610612752,New York Knicks,2,8,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,26,266,1,0,20211020,NYK,BOS
3,Shot Chart Detail,0022100005,219,1630193,Immanuel Quickley,1610612752,New York Knicks,2,7,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-97,240,1,0,20211020,NYK,BOS
4,Shot Chart Detail,0022100018,152,1630193,Immanuel Quickley,1610612752,New York Knicks,1,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,7,262,1,0,20211022,ORL,NYK
5,Shot Chart Detail,0022100018,185,1630193,Immanuel Quickley,1610612752,New York Knicks,2,11,16,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,-76,106,1,0,20211022,ORL,NYK
6,Shot Chart Detail,0022100018,222,1630193,Immanuel Quickley,1610612752,New York Knicks,2,8,40,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-154,206,1,1,20211022,ORL,NYK
7,Shot Chart Detail,0022100018,239,1630193,Immanuel Quickley,1610612752,New York Knicks,2,7,22,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,135,251,1,0,20211022,ORL,NYK
8,Shot Chart Detail,0022100018,517,1630193,Immanuel Quickley,1610612752,New York Knicks,4,10,35,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,85,137,1,1,20211022,ORL,NYK
9,Shot Chart Detail,0022100018,549,1630193,Immanuel Quickley,1610612752,New York Knicks,4,7,19,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,-7,1,1,20211022,ORL,NYK
