,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100020,667,1629067,Isaac Bonga,1610612761,Toronto Raptors,4,0,38,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,51,49,1,1,20211022,BOS,TOR
1,Shot Chart Detail,0022100284,646,1629067,Isaac Bonga,1610612761,Toronto Raptors,4,0,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,12,1,0,20211126,IND,TOR
2,Shot Chart Detail,0022100302,105,1629067,Isaac Bonga,1610612761,Toronto Raptors,1,4,1,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-13,62,1,0,20211128,TOR,BOS
3,Shot Chart Detail,0022100302,144,1629067,Isaac Bonga,1610612761,Toronto Raptors,1,1,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,224,5,1,0,20211128,TOR,BOS
4,Shot Chart Detail,0022100315,448,1629067,Isaac Bonga,1610612761,Toronto Raptors,3,3,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,181,104,1,0,20211130,TOR,MEM
5,Shot Chart Detail,0022100315,466,1629067,Isaac Bonga,1610612761,Toronto Raptors,3,2,24,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,0,20211130,TOR,MEM
6,Shot Chart Detail,0022100371,128,1629067,Isaac Bonga,1610612761,Toronto Raptors,1,1,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,13,1,1,20211208,TOR,OKC
7,Shot Chart Detail,0022100371,409,1629067,Isaac Bonga,1610612761,Toronto Raptors,3,4,4,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,16,1,0,20211208,TOR,OKC
8,Shot Chart Detail,0022100371,437,1629067,Isaac Bonga,1610612761,Toronto Raptors,3,1,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,19,1,0,20211208,TOR,OKC
9,Shot Chart Detail,0022100406,603,1629067,Isaac Bonga,1610612761,Toronto Raptors,4,2,8,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,40,1,0,20211213,TOR,SAC
10,Shot Chart Detail,0022100406,616,1629067,Isaac Bonga,1610612761,Toronto Raptors,4,1,6,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,15,1,0,20211213,TOR,SAC
11,Shot Chart Detail,0022100406,618,1629067,Isaac Bonga,1610612761,Toronto Raptors,4,1,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,13,1,1,20211213,TOR,SAC
12,Shot Chart Detail,0022100563,680,1629067,Isaac Bonga,1610612761,Toronto Raptors,4,3,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,-8,1,0,20220104,TOR,SAS
