,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,139,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,1,42,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,25,1,1,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,418,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,4,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-1,259,1,0,20211020,UTA,OKC
2,Shot Chart Detail,0022100011,437,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,3,12,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,25,1,1,20211020,UTA,OKC
3,Shot Chart Detail,0022100011,470,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,0,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-11,262,1,0,20211020,UTA,OKC
4,Shot Chart Detail,0022100011,612,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,2,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-1,60,1,0,20211020,UTA,OKC
5,Shot Chart Detail,0022100011,621,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,1,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,1,20211020,UTA,OKC
6,Shot Chart Detail,0022100011,633,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,1,1,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,15,1,1,20211020,UTA,OKC
7,Shot Chart Detail,0022100011,643,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,0,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-105,232,1,0,20211020,UTA,OKC
8,Shot Chart Detail,0022100023,9,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,11,32,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,0,20211022,HOU,OKC
9,Shot Chart Detail,0022100023,51,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,7,56,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,4,1,1,20211022,HOU,OKC
10,Shot Chart Detail,0022100023,59,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,7,6,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,0,93,1,0,20211022,HOU,OKC
11,Shot Chart Detail,0022100023,408,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,8,56,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,37,1,0,20211022,HOU,OKC
12,Shot Chart Detail,0022100023,417,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,8,35,Missed Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,4,59,1,0,20211022,HOU,OKC
13,Shot Chart Detail,0022100061,306,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,2,39,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,-5,1,1,20211027,OKC,LAL
14,Shot Chart Detail,0022100061,316,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,1,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-141,210,1,1,20211027,OKC,LAL
15,Shot Chart Detail,0022100061,579,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,5,29,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,59,37,1,1,20211027,OKC,LAL
16,Shot Chart Detail,0022100061,592,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,4,43,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,0,20211027,OKC,LAL
17,Shot Chart Detail,0022100061,599,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,4,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20211027,OKC,LAL
18,Shot Chart Detail,0022100086,575,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,5,1,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,83,53,1,1,20211030,GSW,OKC
19,Shot Chart Detail,0022100086,597,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,3,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,257,1,0,20211030,GSW,OKC
20,Shot Chart Detail,0022100086,630,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,0,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-23,246,1,0,20211030,GSW,OKC
21,Shot Chart Detail,0022100086,637,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,0,4,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,48,1,0,20211030,GSW,OKC
22,Shot Chart Detail,0022100196,610,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,1,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,37,1,1,20211114,OKC,BKN
23,Shot Chart Detail,0022100207,135,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,1,32,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,82,8,1,0,20211115,OKC,MIA
24,Shot Chart Detail,0022100207,433,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,1,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,6,1,1,20211115,OKC,MIA
25,Shot Chart Detail,0022100207,479,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,9,7,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,5,1,1,20211115,OKC,MIA
26,Shot Chart Detail,0022100243,196,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,8,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,169,180,1,0,20211120,BOS,OKC
27,Shot Chart Detail,0022100243,205,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,7,6,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,6,1,1,20211120,BOS,OKC
28,Shot Chart Detail,0022100243,210,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,6,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,24,1,1,20211120,BOS,OKC
29,Shot Chart Detail,0022100243,472,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,8,27,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,57,1,1,20211120,BOS,OKC
30,Shot Chart Detail,0022100243,493,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,6,49,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,31,43,1,0,20211120,BOS,OKC
31,Shot Chart Detail,0022100243,495,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,6,47,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211120,BOS,OKC
32,Shot Chart Detail,0022100243,497,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,6,45,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211120,BOS,OKC
33,Shot Chart Detail,0022100243,515,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,5,56,Missed Shot,Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,54,1,0,20211120,BOS,OKC
34,Shot Chart Detail,0022100243,517,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,5,53,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211120,BOS,OKC
35,Shot Chart Detail,0022100255,243,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,5,28,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,1,93,1,1,20211122,ATL,OKC
36,Shot Chart Detail,0022100255,248,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,5,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-109,158,1,1,20211122,ATL,OKC
37,Shot Chart Detail,0022100255,544,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,6,33,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,132,22,1,0,20211122,ATL,OKC
38,Shot Chart Detail,0022100255,564,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,5,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,0,20211122,ATL,OKC
39,Shot Chart Detail,0022100308,159,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,0,31,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,39,8,1,0,20211129,HOU,OKC
40,Shot Chart Detail,0022100308,162,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,0,29,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,13,1,1,20211129,HOU,OKC
41,Shot Chart Detail,0022100308,204,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,8,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,15,1,1,20211129,HOU,OKC
42,Shot Chart Detail,0022100308,227,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,7,24,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20211129,HOU,OKC
43,Shot Chart Detail,0022100308,414,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,5,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,28,1,1,20211129,HOU,OKC
44,Shot Chart Detail,0022100308,473,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,0,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20211129,HOU,OKC
45,Shot Chart Detail,0022100308,493,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,0,5,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,10,1,1,20211129,HOU,OKC
46,Shot Chart Detail,0022100308,502,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,11,21,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,1,20211129,HOU,OKC
47,Shot Chart Detail,0022100308,515,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,9,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,129,232,1,0,20211129,HOU,OKC
48,Shot Chart Detail,0022100308,610,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,4,9,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,25,1,1,20211129,HOU,OKC
49,Shot Chart Detail,0022100326,141,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-206,13,1,0,20211201,OKC,HOU
50,Shot Chart Detail,0022100326,176,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,9,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,-28,1,0,20211201,OKC,HOU
51,Shot Chart Detail,0022100326,452,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,1,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,125,247,1,0,20211201,OKC,HOU
52,Shot Chart Detail,0022100326,485,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,11,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,34,1,1,20211201,OKC,HOU
53,Shot Chart Detail,0022100326,534,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,8,52,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,1,20211201,OKC,HOU
54,Shot Chart Detail,0022100330,143,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,1,51,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,74,25,1,0,20211202,MEM,OKC
55,Shot Chart Detail,0022100330,146,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,1,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,31,263,1,1,20211202,MEM,OKC
56,Shot Chart Detail,0022100330,550,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,7,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,67,239,1,0,20211202,MEM,OKC
57,Shot Chart Detail,0022100330,583,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,3,41,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,56,71,1,0,20211202,MEM,OKC
58,Shot Chart Detail,0022100330,603,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,2,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,5,1,1,20211202,MEM,OKC
59,Shot Chart Detail,0022100389,614,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,2,39,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211210,OKC,LAL
60,Shot Chart Detail,0022100389,641,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,1,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1,20211210,OKC,LAL
61,Shot Chart Detail,0022100389,652,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,4,0,14,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,20,1,0,20211210,OKC,LAL
62,Shot Chart Detail,0022100474,230,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,6,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-20,208,1,0,20211222,OKC,DEN
63,Shot Chart Detail,0022100515,45,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,8,14,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,10,1,1,20211228,SAC,OKC
64,Shot Chart Detail,0022100515,64,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,6,52,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,23,46,1,0,20211228,SAC,OKC
65,Shot Chart Detail,0022100515,101,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,4,2,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,4,1,1,20211228,SAC,OKC
66,Shot Chart Detail,0022100515,307,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,2,1,1,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211228,SAC,OKC
67,Shot Chart Detail,0022100515,328,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,11,21,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,7,108,1,0,20211228,SAC,OKC
68,Shot Chart Detail,0022100515,388,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,7,17,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,6,1,0,20211228,SAC,OKC
69,Shot Chart Detail,0022100515,418,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,5,16,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,42,1,0,20211228,SAC,OKC
70,Shot Chart Detail,0022100522,17,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,10,47,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,24,1,1,20211229,PHX,OKC
71,Shot Chart Detail,0022100522,96,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,1,4,33,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,32,1,1,20211229,PHX,OKC
72,Shot Chart Detail,0022100522,333,1629676,Isaiah Roby,1610612760,Oklahoma City Thunder,3,11,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,64,289,1,1,20211229,PHX,OKC
