,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100044,667,1630225,Isaiah Todd,1610612764,Washington Wizards,4,2,31,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,-14,1,1,20211025,BKN,WAS
1,Shot Chart Detail,0022100044,672,1630225,Isaiah Todd,1610612764,Washington Wizards,4,2,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-161,196,1,0,20211025,BKN,WAS
2,Shot Chart Detail,0022100213,633,1630225,Isaiah Todd,1610612764,Washington Wizards,4,1,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,12,1,0,20211117,CHA,WAS
3,Shot Chart Detail,0022100225,584,1630225,Isaiah Todd,1610612764,Washington Wizards,4,0,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,238,57,1,1,20211118,MIA,WAS
4,Shot Chart Detail,0022100225,590,1630225,Isaiah Todd,1610612764,Washington Wizards,4,0,10,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,4,108,1,0,20211118,MIA,WAS
5,Shot Chart Detail,0022100351,629,1630225,Isaiah Todd,1610612764,Washington Wizards,4,0,14,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,17,1,0,20211205,TOR,WAS
6,Shot Chart Detail,0022100392,615,1630225,Isaiah Todd,1610612764,Washington Wizards,4,2,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-3,1,1,20211211,WAS,UTA
7,Shot Chart Detail,0022100392,624,1630225,Isaiah Todd,1610612764,Washington Wizards,4,1,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,179,195,1,0,20211211,WAS,UTA
8,Shot Chart Detail,0022100392,628,1630225,Isaiah Todd,1610612764,Washington Wizards,4,0,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-15,1,1,20211211,WAS,UTA
9,Shot Chart Detail,0022100392,632,1630225,Isaiah Todd,1610612764,Washington Wizards,4,0,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,146,246,1,0,20211211,WAS,UTA
10,Shot Chart Detail,0022100509,112,1630225,Isaiah Todd,1610612764,Washington Wizards,1,3,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,-3,1,0,20211228,MIA,WAS
11,Shot Chart Detail,0022100509,432,1630225,Isaiah Todd,1610612764,Washington Wizards,3,2,10,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,9,1,0,20211228,MIA,WAS
12,Shot Chart Detail,0022100527,650,1630225,Isaiah Todd,1610612764,Washington Wizards,4,1,52,Missed Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,31,1,0,20211230,WAS,CLE
13,Shot Chart Detail,0022100527,660,1630225,Isaiah Todd,1610612764,Washington Wizards,4,1,16,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,152,38,1,0,20211230,WAS,CLE
14,Shot Chart Detail,0022100585,631,1630225,Isaiah Todd,1610612764,Washington Wizards,4,2,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20220107,CHI,WAS
15,Shot Chart Detail,0022100876,121,1630225,Isaiah Todd,1610612764,Washington Wizards,1,1,59,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-240,35,1,0,20220216,IND,WAS
16,Shot Chart Detail,0022100876,127,1630225,Isaiah Todd,1610612764,Washington Wizards,1,1,28,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-31,80,1,0,20220216,IND,WAS
17,Shot Chart Detail,0022101204,80,1630225,Isaiah Todd,1610612764,Washington Wizards,1,5,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,-1,1,0,20220408,WAS,NYK
18,Shot Chart Detail,0022101204,229,1630225,Isaiah Todd,1610612764,Washington Wizards,2,5,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-127,231,1,0,20220408,WAS,NYK
19,Shot Chart Detail,0022101204,520,1630225,Isaiah Todd,1610612764,Washington Wizards,4,6,54,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-114,256,1,0,20220408,WAS,NYK
20,Shot Chart Detail,0022101204,523,1630225,Isaiah Todd,1610612764,Washington Wizards,4,6,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,80,204,1,1,20220408,WAS,NYK
21,Shot Chart Detail,0022101204,542,1630225,Isaiah Todd,1610612764,Washington Wizards,4,5,8,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,17,1,0,20220408,WAS,NYK
22,Shot Chart Detail,0022101204,595,1630225,Isaiah Todd,1610612764,Washington Wizards,4,1,5,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,32,1,1,20220408,WAS,NYK
23,Shot Chart Detail,0022101217,128,1630225,Isaiah Todd,1610612764,Washington Wizards,1,2,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,167,192,1,0,20220410,CHA,WAS
24,Shot Chart Detail,0022101217,489,1630225,Isaiah Todd,1610612764,Washington Wizards,3,0,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,154,215,1,0,20220410,CHA,WAS
25,Shot Chart Detail,0022101217,624,1630225,Isaiah Todd,1610612764,Washington Wizards,4,3,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,26,1,0,20220410,CHA,WAS
