,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100003,100,202397,Ish Smith,1610612766,Charlotte Hornets,1,5,41,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,16,1,0,20211020,CHA,IND
1,Shot Chart Detail,0022100003,139,202397,Ish Smith,1610612766,Charlotte Hornets,1,3,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,4,1,1,20211020,CHA,IND
2,Shot Chart Detail,0022100003,161,202397,Ish Smith,1610612766,Charlotte Hornets,1,1,58,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-103,167,1,1,20211020,CHA,IND
3,Shot Chart Detail,0022100003,165,202397,Ish Smith,1610612766,Charlotte Hornets,1,1,35,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,1,20211020,CHA,IND
4,Shot Chart Detail,0022100003,178,202397,Ish Smith,1610612766,Charlotte Hornets,1,0,47,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,42,83,1,0,20211020,CHA,IND
5,Shot Chart Detail,0022100003,182,202397,Ish Smith,1610612766,Charlotte Hornets,1,0,8,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,136,25,1,1,20211020,CHA,IND
6,Shot Chart Detail,0022100003,349,202397,Ish Smith,1610612766,Charlotte Hornets,2,2,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,60,189,1,1,20211020,CHA,IND
7,Shot Chart Detail,0022100003,541,202397,Ish Smith,1610612766,Charlotte Hornets,3,1,24,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,65,111,1,1,20211020,CHA,IND
8,Shot Chart Detail,0022100003,547,202397,Ish Smith,1610612766,Charlotte Hornets,3,0,44,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,21,1,0,20211020,CHA,IND
9,Shot Chart Detail,0022100003,551,202397,Ish Smith,1610612766,Charlotte Hornets,3,0,30,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,9,71,1,0,20211020,CHA,IND
10,Shot Chart Detail,0022100003,587,202397,Ish Smith,1610612766,Charlotte Hornets,4,10,58,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,0,20211020,CHA,IND
11,Shot Chart Detail,0022100003,622,202397,Ish Smith,1610612766,Charlotte Hornets,4,8,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-2,159,1,0,20211020,CHA,IND
12,Shot Chart Detail,0022100003,639,202397,Ish Smith,1610612766,Charlotte Hornets,4,7,20,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,56,119,1,0,20211020,CHA,IND
