,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100016,11,1627826,Ivica Zubac,1610612746,LA Clippers,1,11,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,0,20211021,GSW,LAC
1,Shot Chart Detail,0022100016,34,1627826,Ivica Zubac,1610612746,LA Clippers,1,9,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20211021,GSW,LAC
2,Shot Chart Detail,0022100016,40,1627826,Ivica Zubac,1610612746,LA Clippers,1,8,40,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,59,1,1,20211021,GSW,LAC
3,Shot Chart Detail,0022100016,72,1627826,Ivica Zubac,1610612746,LA Clippers,1,6,57,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20211021,GSW,LAC
4,Shot Chart Detail,0022100016,380,1627826,Ivica Zubac,1610612746,LA Clippers,3,10,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,0,20211021,GSW,LAC
5,Shot Chart Detail,0022100016,383,1627826,Ivica Zubac,1610612746,LA Clippers,3,10,30,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,55,1,0,20211021,GSW,LAC
6,Shot Chart Detail,0022100016,392,1627826,Ivica Zubac,1610612746,LA Clippers,3,9,36,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,0,1,1,20211021,GSW,LAC
7,Shot Chart Detail,0022100034,46,1627826,Ivica Zubac,1610612746,LA Clippers,1,7,10,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211023,LAC,MEM
8,Shot Chart Detail,0022100034,67,1627826,Ivica Zubac,1610612746,LA Clippers,1,5,30,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211023,LAC,MEM
9,Shot Chart Detail,0022100034,272,1627826,Ivica Zubac,1610612746,LA Clippers,2,3,10,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20211023,LAC,MEM
