,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100007,8,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,11,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,21,1,1,20211020,MEM,CLE
1,Shot Chart Detail,0022100007,18,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,10,37,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,248,1,0,20211020,MEM,CLE
2,Shot Chart Detail,0022100007,25,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,1,20211020,MEM,CLE
3,Shot Chart Detail,0022100007,39,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,26,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,9,1,1,20211020,MEM,CLE
4,Shot Chart Detail,0022100007,74,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,0,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20211020,MEM,CLE
5,Shot Chart Detail,0022100007,79,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,5,34,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-39,89,1,0,20211020,MEM,CLE
6,Shot Chart Detail,0022100007,95,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,4,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20211020,MEM,CLE
7,Shot Chart Detail,0022100007,105,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,4,1,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,37,1,1,20211020,MEM,CLE
8,Shot Chart Detail,0022100007,109,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,3,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-104,229,1,0,20211020,MEM,CLE
9,Shot Chart Detail,0022100007,248,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,5,7,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,0,20211020,MEM,CLE
10,Shot Chart Detail,0022100007,296,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,3,11,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20211020,MEM,CLE
11,Shot Chart Detail,0022100007,304,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,2,17,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,-94,203,1,1,20211020,MEM,CLE
12,Shot Chart Detail,0022100007,316,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,1,41,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,1,20211020,MEM,CLE
13,Shot Chart Detail,0022100007,319,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,1,6,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,16,1,0,20211020,MEM,CLE
14,Shot Chart Detail,0022100007,328,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,9,1,1,20211020,MEM,CLE
15,Shot Chart Detail,0022100007,382,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,8,55,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,5,128,1,0,20211020,MEM,CLE
16,Shot Chart Detail,0022100007,411,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,6,27,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,1,1,1,20211020,MEM,CLE
17,Shot Chart Detail,0022100007,424,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,5,57,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,32,152,1,0,20211020,MEM,CLE
18,Shot Chart Detail,0022100007,443,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,4,14,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,15,1,0,20211020,MEM,CLE
19,Shot Chart Detail,0022100007,465,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,2,41,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,10,1,1,20211020,MEM,CLE
20,Shot Chart Detail,0022100007,468,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,2,21,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-1,1,1,20211020,MEM,CLE
21,Shot Chart Detail,0022100007,573,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,29,1,0,20211020,MEM,CLE
22,Shot Chart Detail,0022100007,576,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,42,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,2,91,1,0,20211020,MEM,CLE
