,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100003,111,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,1,4,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,7,1,0,20211020,CHA,IND
1,Shot Chart Detail,0022100035,163,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,1,1,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-201,141,1,1,20211024,BKN,CHA
2,Shot Chart Detail,0022100035,223,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,2,9,12,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,1,1,1,20211024,BKN,CHA
3,Shot Chart Detail,0022100035,295,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,2,4,2,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20211024,BKN,CHA
4,Shot Chart Detail,0022100041,99,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,1,3,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,110,0,1,0,20211025,CHA,BOS
5,Shot Chart Detail,0022100041,113,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,1,2,16,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-75,74,1,1,20211025,CHA,BOS
6,Shot Chart Detail,0022100041,487,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,3,0,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,43,1,1,20211025,CHA,BOS
7,Shot Chart Detail,0022100041,542,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,4,9,25,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,10,1,1,20211025,CHA,BOS
8,Shot Chart Detail,0022100041,608,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,4,6,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-91,246,1,1,20211025,CHA,BOS
9,Shot Chart Detail,0022100041,634,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,4,5,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-77,259,1,0,20211025,CHA,BOS
10,Shot Chart Detail,0022100055,133,1629667,Jalen McDaniels,1610612766,Charlotte Hornets,1,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-121,244,1,1,20211027,ORL,CHA
