,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100442,113,203516,James Ennis III,1610612751,Brooklyn Nets,1,2,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,0,20211218,BKN,ORL
1,Shot Chart Detail,0022100442,135,203516,James Ennis III,1610612751,Brooklyn Nets,1,0,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,17,1,0,20211218,BKN,ORL
2,Shot Chart Detail,0022100442,138,203516,James Ennis III,1610612751,Brooklyn Nets,1,0,50,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,9,1,0,20211218,BKN,ORL
3,Shot Chart Detail,0022100442,436,203516,James Ennis III,1610612751,Brooklyn Nets,3,2,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,165,204,1,1,20211218,BKN,ORL
4,Shot Chart Detail,0022100442,484,203516,James Ennis III,1610612751,Brooklyn Nets,4,10,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,138,222,1,0,20211218,BKN,ORL
5,Shot Chart Detail,0022100442,494,203516,James Ennis III,1610612751,Brooklyn Nets,4,9,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211218,BKN,ORL
6,Shot Chart Detail,0022100507,684,203516,James Ennis III,1610612751,Brooklyn Nets,4,0,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,26,1,1,20211227,LAC,BKN
7,Shot Chart Detail,0022100542,133,203516,James Ennis III,1610612746,LA Clippers,1,1,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20220101,BKN,LAC
8,Shot Chart Detail,0022100542,147,203516,James Ennis III,1610612746,LA Clippers,1,0,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,1,1,1,20220101,BKN,LAC
9,Shot Chart Detail,0022100542,184,203516,James Ennis III,1610612746,LA Clippers,2,10,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,188,170,1,0,20220101,BKN,LAC
