,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,653,201949,James Johnson,1610612751,Brooklyn Nets,4,2,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,32,1,0,20211019,MIL,BKN
1,Shot Chart Detail,0022100001,690,201949,James Johnson,1610612751,Brooklyn Nets,4,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,-123,271,1,0,20211019,MIL,BKN
2,Shot Chart Detail,0022100021,188,201949,James Johnson,1610612751,Brooklyn Nets,2,9,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,4,1,0,20211022,PHI,BKN
3,Shot Chart Detail,0022100021,191,201949,James Johnson,1610612751,Brooklyn Nets,2,9,46,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,12,1,0,20211022,PHI,BKN
4,Shot Chart Detail,0022100035,225,201949,James Johnson,1610612751,Brooklyn Nets,2,8,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,-17,1,0,20211024,BKN,CHA
5,Shot Chart Detail,0022100044,73,201949,James Johnson,1610612751,Brooklyn Nets,1,5,43,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,5,1,1,20211025,BKN,WAS
6,Shot Chart Detail,0022100092,454,201949,James Johnson,1610612751,Brooklyn Nets,4,11,30,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-5,1,1,20211031,BKN,DET
7,Shot Chart Detail,0022100092,483,201949,James Johnson,1610612751,Brooklyn Nets,4,8,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-23,1,0,20211031,BKN,DET
8,Shot Chart Detail,0022100210,189,201949,James Johnson,1610612751,Brooklyn Nets,2,10,52,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,12,1,0,20211116,BKN,GSW
9,Shot Chart Detail,0022100216,291,201949,James Johnson,1610612751,Brooklyn Nets,2,2,43,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,0,20211117,BKN,CLE
10,Shot Chart Detail,0022100216,543,201949,James Johnson,1610612751,Brooklyn Nets,4,6,59,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,5,1,0,20211117,BKN,CLE
