,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100497,506,1629607,Jared Harper,1610612740,New Orleans Pelicans,3,0,54,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-15,104,1,0,20211226,OKC,NOP
1,Shot Chart Detail,0022100513,455,1629607,Jared Harper,1610612740,New Orleans Pelicans,3,1,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,-12,1,0,20211228,NOP,CLE
2,Shot Chart Detail,0022100513,457,1629607,Jared Harper,1610612740,New Orleans Pelicans,3,1,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-237,73,1,1,20211228,NOP,CLE
3,Shot Chart Detail,0022100513,465,1629607,Jared Harper,1610612740,New Orleans Pelicans,3,0,17,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-36,90,1,1,20211228,NOP,CLE
4,Shot Chart Detail,0022100513,481,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,11,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,211,148,1,0,20211228,NOP,CLE
5,Shot Chart Detail,0022100513,485,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,10,27,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-81,55,1,1,20211228,NOP,CLE
6,Shot Chart Detail,0022100513,496,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,9,42,Missed Shot,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-145,125,1,0,20211228,NOP,CLE
7,Shot Chart Detail,0022101200,598,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,4,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,71,164,1,1,20220407,NOP,POR
8,Shot Chart Detail,0022101200,601,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,3,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-174,187,1,1,20220407,NOP,POR
9,Shot Chart Detail,0022101200,630,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,1,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,208,140,1,0,20220407,NOP,POR
10,Shot Chart Detail,0022101200,637,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,0,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-228,113,1,0,20220407,NOP,POR
11,Shot Chart Detail,0022101213,624,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,6,39,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,54,1,1,20220409,MEM,NOP
12,Shot Chart Detail,0022101213,639,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,5,38,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,0,20220409,MEM,NOP
13,Shot Chart Detail,0022101213,703,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,1,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-201,8,1,1,20220409,MEM,NOP
14,Shot Chart Detail,0022101213,707,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,1,21,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,91,237,1,1,20220409,MEM,NOP
15,Shot Chart Detail,0022101213,711,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,1,1,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,1,20220409,MEM,NOP
16,Shot Chart Detail,0022101213,714,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,0,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-114,158,1,1,20220409,MEM,NOP
17,Shot Chart Detail,0022101225,174,1629607,Jared Harper,1610612740,New Orleans Pelicans,2,9,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-141,215,1,0,20220410,NOP,GSW
18,Shot Chart Detail,0022101225,223,1629607,Jared Harper,1610612740,New Orleans Pelicans,2,5,34,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,191,165,1,0,20220410,NOP,GSW
19,Shot Chart Detail,0022101225,440,1629607,Jared Harper,1610612740,New Orleans Pelicans,3,2,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-138,245,1,0,20220410,NOP,GSW
20,Shot Chart Detail,0022101225,461,1629607,Jared Harper,1610612740,New Orleans Pelicans,3,0,37,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,0,1,1,20220410,NOP,GSW
21,Shot Chart Detail,0022101225,498,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,9,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,3,1,0,20220410,NOP,GSW
22,Shot Chart Detail,0022101225,547,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,8,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,137,220,1,0,20220410,NOP,GSW
23,Shot Chart Detail,0022101225,533,1629607,Jared Harper,1610612740,New Orleans Pelicans,4,7,28,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,9,103,1,1,20220410,NOP,GSW
