,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100007,130,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,1,2,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,57,1,0,20211020,MEM,CLE
1,Shot Chart Detail,0022100007,163,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,2,11,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,11,1,1,20211020,MEM,CLE
2,Shot Chart Detail,0022100007,172,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,2,10,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,22,1,0,20211020,MEM,CLE
3,Shot Chart Detail,0022100007,176,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,2,10,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-87,237,1,1,20211020,MEM,CLE
4,Shot Chart Detail,0022100007,185,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,2,10,0,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-91,243,1,0,20211020,MEM,CLE
5,Shot Chart Detail,0022100007,197,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,2,8,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,62,241,1,0,20211020,MEM,CLE
6,Shot Chart Detail,0022100007,347,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,3,11,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,47,1,0,20211020,MEM,CLE
7,Shot Chart Detail,0022100007,356,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,3,11,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20211020,MEM,CLE
8,Shot Chart Detail,0022100007,519,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,4,11,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,153,202,1,1,20211020,MEM,CLE
9,Shot Chart Detail,0022100007,540,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,4,9,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-10,263,1,0,20211020,MEM,CLE
