,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100031,216,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,2,9,12,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,1,20211023,MIN,NOP
1,Shot Chart Detail,0022100031,245,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,2,7,35,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,1,20211023,MIN,NOP
2,Shot Chart Detail,0022100031,259,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,2,7,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,5,1,0,20211023,MIN,NOP
3,Shot Chart Detail,0022100060,28,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,9,13,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,7,1,1,20211027,MIL,MIN
4,Shot Chart Detail,0022100060,49,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,7,15,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-165,5,1,0,20211027,MIL,MIN
5,Shot Chart Detail,0022100060,56,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,6,49,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,16,111,1,1,20211027,MIL,MIN
6,Shot Chart Detail,0022100060,68,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,6,22,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,70,1,0,20211027,MIL,MIN
7,Shot Chart Detail,0022100060,409,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,9,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,25,1,1,20211027,MIL,MIN
8,Shot Chart Detail,0022100060,423,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,7,42,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211027,MIL,MIN
9,Shot Chart Detail,0022100087,19,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,10,3,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211030,MIN,DEN
10,Shot Chart Detail,0022100087,64,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,6,1,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20211030,MIN,DEN
11,Shot Chart Detail,0022100087,311,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,2,2,12,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,1,20211030,MIN,DEN
12,Shot Chart Detail,0022100087,363,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,10,54,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,65,1,0,20211030,MIN,DEN
13,Shot Chart Detail,0022100087,407,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,7,42,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,13,1,0,20211030,MIN,DEN
14,Shot Chart Detail,0022100101,49,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,8,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,16,1,0,20211101,MIN,ORL
15,Shot Chart Detail,0022100101,70,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,7,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20211101,MIN,ORL
