,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100007,9,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,1,11,8,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,44,75,1,1,20211020,MEM,CLE
1,Shot Chart Detail,0022100007,40,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,1,8,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20211020,MEM,CLE
2,Shot Chart Detail,0022100007,52,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,1,7,15,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20211020,MEM,CLE
3,Shot Chart Detail,0022100007,242,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,2,5,42,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,1,20211020,MEM,CLE
4,Shot Chart Detail,0022100007,317,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,2,1,23,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,29,55,1,1,20211020,MEM,CLE
5,Shot Chart Detail,0022100007,322,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,2,1,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20211020,MEM,CLE
6,Shot Chart Detail,0022100007,372,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,3,10,1,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-34,63,1,1,20211020,MEM,CLE
7,Shot Chart Detail,0022100007,401,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,3,7,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,10,151,1,1,20211020,MEM,CLE
8,Shot Chart Detail,0022100007,422,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,3,6,13,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20211020,MEM,CLE
9,Shot Chart Detail,0022100007,542,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,4,9,39,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,16,1,1,20211020,MEM,CLE
10,Shot Chart Detail,0022100007,606,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,4,5,39,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,1,20211020,MEM,CLE
11,Shot Chart Detail,0022100017,17,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,1,10,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,0,20211022,CLE,CHA
12,Shot Chart Detail,0022100017,41,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,1,8,20,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20211022,CLE,CHA
13,Shot Chart Detail,0022100017,202,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,2,9,17,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,1,20211022,CLE,CHA
14,Shot Chart Detail,0022100017,217,1628386,Jarrett Allen,1610612739,Cleveland Cavaliers,2,8,1,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20211022,CLE,CHA
