,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100004,491,1629750,Javonte Green,1610612741,Chicago Bulls,4,9,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,158,203,1,0,20211020,DET,CHI
1,Shot Chart Detail,0022100022,89,1629750,Javonte Green,1610612741,Chicago Bulls,1,4,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,16,1,1,20211022,CHI,NOP
2,Shot Chart Detail,0022100022,93,1629750,Javonte Green,1610612741,Chicago Bulls,1,3,54,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,0,20211022,CHI,NOP
3,Shot Chart Detail,0022100022,104,1629750,Javonte Green,1610612741,Chicago Bulls,1,3,41,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,4,1,1,20211022,CHI,NOP
4,Shot Chart Detail,0022100022,138,1629750,Javonte Green,1610612741,Chicago Bulls,1,1,25,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-3,1,1,20211022,CHI,NOP
5,Shot Chart Detail,0022100022,409,1629750,Javonte Green,1610612741,Chicago Bulls,3,4,11,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,CHI,NOP
6,Shot Chart Detail,0022100022,468,1629750,Javonte Green,1610612741,Chicago Bulls,3,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,147,201,1,0,20211022,CHI,NOP
7,Shot Chart Detail,0022100030,109,1629750,Javonte Green,1610612741,Chicago Bulls,1,3,59,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,1,1,1,20211023,CHI,DET
8,Shot Chart Detail,0022100030,151,1629750,Javonte Green,1610612741,Chicago Bulls,1,0,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,11,1,1,20211023,CHI,DET
9,Shot Chart Detail,0022100030,443,1629750,Javonte Green,1610612741,Chicago Bulls,3,4,41,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20211023,CHI,DET
10,Shot Chart Detail,0022100046,83,1629750,Javonte Green,1610612741,Chicago Bulls,1,5,1,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,43,1,0,20211025,TOR,CHI
11,Shot Chart Detail,0022100067,352,1629750,Javonte Green,1610612741,Chicago Bulls,3,6,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,-13,1,1,20211028,CHI,NYK
12,Shot Chart Detail,0022100067,548,1629750,Javonte Green,1610612741,Chicago Bulls,4,5,47,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211028,CHI,NYK
13,Shot Chart Detail,0022100083,55,1629750,Javonte Green,1610612741,Chicago Bulls,1,6,53,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,4,1,1,20211030,CHI,UTA
14,Shot Chart Detail,0022100083,345,1629750,Javonte Green,1610612741,Chicago Bulls,3,11,5,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211030,CHI,UTA
15,Shot Chart Detail,0022100098,38,1629750,Javonte Green,1610612741,Chicago Bulls,1,8,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,6,1,0,20211101,BOS,CHI
16,Shot Chart Detail,0022100098,45,1629750,Javonte Green,1610612741,Chicago Bulls,1,7,49,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20211101,BOS,CHI
17,Shot Chart Detail,0022100098,64,1629750,Javonte Green,1610612741,Chicago Bulls,1,6,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,15,1,0,20211101,BOS,CHI
18,Shot Chart Detail,0022100098,246,1629750,Javonte Green,1610612741,Chicago Bulls,2,5,2,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20211101,BOS,CHI
19,Shot Chart Detail,0022100098,363,1629750,Javonte Green,1610612741,Chicago Bulls,3,8,5,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-7,73,1,0,20211101,BOS,CHI
20,Shot Chart Detail,0022100098,374,1629750,Javonte Green,1610612741,Chicago Bulls,3,7,15,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-7,1,1,20211101,BOS,CHI
21,Shot Chart Detail,0022100111,12,1629750,Javonte Green,1610612741,Chicago Bulls,1,10,47,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,5,1,0,20211103,PHI,CHI
22,Shot Chart Detail,0022100111,207,1629750,Javonte Green,1610612741,Chicago Bulls,2,6,22,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,29,75,1,0,20211103,PHI,CHI
23,Shot Chart Detail,0022100111,235,1629750,Javonte Green,1610612741,Chicago Bulls,2,3,23,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,25,1,1,20211103,PHI,CHI
24,Shot Chart Detail,0022100111,335,1629750,Javonte Green,1610612741,Chicago Bulls,3,7,25,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,0,20211103,PHI,CHI
25,Shot Chart Detail,0022100111,337,1629750,Javonte Green,1610612741,Chicago Bulls,3,7,20,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211103,PHI,CHI
26,Shot Chart Detail,0022100111,364,1629750,Javonte Green,1610612741,Chicago Bulls,3,4,58,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,11,1,0,20211103,PHI,CHI
27,Shot Chart Detail,0022100135,18,1629750,Javonte Green,1610612741,Chicago Bulls,1,10,39,Missed Shot,Tip Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,40,1,0,20211106,CHI,PHI
28,Shot Chart Detail,0022100135,46,1629750,Javonte Green,1610612741,Chicago Bulls,1,7,46,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,5,1,0,20211106,CHI,PHI
29,Shot Chart Detail,0022100135,85,1629750,Javonte Green,1610612741,Chicago Bulls,1,4,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-223,34,1,0,20211106,CHI,PHI
30,Shot Chart Detail,0022100135,261,1629750,Javonte Green,1610612741,Chicago Bulls,2,4,45,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211106,CHI,PHI
31,Shot Chart Detail,0022100135,339,1629750,Javonte Green,1610612741,Chicago Bulls,3,10,33,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20211106,CHI,PHI
32,Shot Chart Detail,0022100148,9,1629750,Javonte Green,1610612741,Chicago Bulls,1,11,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,3,1,1,20211108,CHI,BKN
33,Shot Chart Detail,0022100148,39,1629750,Javonte Green,1610612741,Chicago Bulls,1,8,44,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211108,CHI,BKN
34,Shot Chart Detail,0022100148,185,1629750,Javonte Green,1610612741,Chicago Bulls,2,7,43,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211108,CHI,BKN
35,Shot Chart Detail,0022100148,193,1629750,Javonte Green,1610612741,Chicago Bulls,2,7,7,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-7,1,0,20211108,CHI,BKN
36,Shot Chart Detail,0022100148,225,1629750,Javonte Green,1610612741,Chicago Bulls,2,4,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,228,119,1,0,20211108,CHI,BKN
37,Shot Chart Detail,0022100148,230,1629750,Javonte Green,1610612741,Chicago Bulls,2,4,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,4,1,1,20211108,CHI,BKN
