,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100344,179,1630606,Javonte Smart,1610612749,Milwaukee Bucks,2,10,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-23,269,1,0,20211204,MIL,MIA
1,Shot Chart Detail,0022100344,199,1630606,Javonte Smart,1610612749,Milwaukee Bucks,2,10,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-174,194,1,0,20211204,MIL,MIA
2,Shot Chart Detail,0022100344,214,1630606,Javonte Smart,1610612749,Milwaukee Bucks,2,8,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,20,1,1,20211204,MIL,MIA
3,Shot Chart Detail,0022100344,299,1630606,Javonte Smart,1610612749,Milwaukee Bucks,2,4,14,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,9,1,0,20211204,MIL,MIA
4,Shot Chart Detail,0022100344,547,1630606,Javonte Smart,1610612749,Milwaukee Bucks,3,1,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,28,259,1,1,20211204,MIL,MIA
5,Shot Chart Detail,0022100344,574,1630606,Javonte Smart,1610612749,Milwaukee Bucks,4,11,21,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,17,126,1,0,20211204,MIL,MIA
6,Shot Chart Detail,0022100344,624,1630606,Javonte Smart,1610612749,Milwaukee Bucks,4,6,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,163,230,1,0,20211204,MIL,MIA
7,Shot Chart Detail,0022100358,155,1630606,Javonte Smart,1610612749,Milwaukee Bucks,1,0,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20211206,MIL,CLE
8,Shot Chart Detail,0022100358,206,1630606,Javonte Smart,1610612749,Milwaukee Bucks,2,9,23,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,67,85,1,1,20211206,MIL,CLE
9,Shot Chart Detail,0022100358,500,1630606,Javonte Smart,1610612749,Milwaukee Bucks,3,0,43,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211206,MIL,CLE
