,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100005,13,1628369,Jayson Tatum,1610612738,Boston Celtics,1,11,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-206,143,1,0,20211020,NYK,BOS
1,Shot Chart Detail,0022100005,109,1628369,Jayson Tatum,1610612738,Boston Celtics,1,2,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-17,158,1,1,20211020,NYK,BOS
2,Shot Chart Detail,0022100005,238,1628369,Jayson Tatum,1610612738,Boston Celtics,2,6,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,230,97,1,0,20211020,NYK,BOS
3,Shot Chart Detail,0022100005,244,1628369,Jayson Tatum,1610612738,Boston Celtics,2,6,2,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,224,85,1,0,20211020,NYK,BOS
4,Shot Chart Detail,0022100005,263,1628369,Jayson Tatum,1610612738,Boston Celtics,2,5,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,189,168,1,0,20211020,NYK,BOS
5,Shot Chart Detail,0022100005,273,1628369,Jayson Tatum,1610612738,Boston Celtics,2,4,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-98,152,1,0,20211020,NYK,BOS
6,Shot Chart Detail,0022100005,289,1628369,Jayson Tatum,1610612738,Boston Celtics,2,3,9,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-81,247,1,0,20211020,NYK,BOS
7,Shot Chart Detail,0022100005,303,1628369,Jayson Tatum,1610612738,Boston Celtics,2,2,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,-10,1,0,20211020,NYK,BOS
8,Shot Chart Detail,0022100005,315,1628369,Jayson Tatum,1610612738,Boston Celtics,2,1,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-10,1,1,20211020,NYK,BOS
9,Shot Chart Detail,0022100005,325,1628369,Jayson Tatum,1610612738,Boston Celtics,2,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-33,206,1,1,20211020,NYK,BOS
