,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100009,7,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,11,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-12,155,1,1,20211020,NOP,PHI
1,Shot Chart Detail,0022100009,19,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,10,13,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,120,75,1,0,20211020,NOP,PHI
2,Shot Chart Detail,0022100009,24,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,9,41,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-1,255,1,1,20211020,NOP,PHI
3,Shot Chart Detail,0022100009,34,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,8,31,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,131,42,1,0,20211020,NOP,PHI
4,Shot Chart Detail,0022100009,41,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,8,5,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-180,159,1,1,20211020,NOP,PHI
5,Shot Chart Detail,0022100009,43,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,7,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,8,1,1,20211020,NOP,PHI
6,Shot Chart Detail,0022100009,241,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,5,45,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-39,57,1,0,20211020,NOP,PHI
7,Shot Chart Detail,0022100009,269,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,3,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-150,95,1,0,20211020,NOP,PHI
8,Shot Chart Detail,0022100009,287,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,2,30,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,-81,19,1,0,20211020,NOP,PHI
9,Shot Chart Detail,0022100009,303,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,1,5,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,104,46,1,0,20211020,NOP,PHI
10,Shot Chart Detail,0022100009,311,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,0,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,22,1,1,20211020,NOP,PHI
11,Shot Chart Detail,0022100009,329,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,11,19,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,50,96,1,1,20211020,NOP,PHI
12,Shot Chart Detail,0022100009,333,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,10,47,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-1,201,1,1,20211020,NOP,PHI
13,Shot Chart Detail,0022100009,336,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,10,21,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,16,142,1,1,20211020,NOP,PHI
14,Shot Chart Detail,0022100009,373,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,6,12,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,136,97,1,0,20211020,NOP,PHI
15,Shot Chart Detail,0022100009,383,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,4,44,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,77,155,1,0,20211020,NOP,PHI
16,Shot Chart Detail,0022100009,399,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,3,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-47,247,1,0,20211020,NOP,PHI
17,Shot Chart Detail,0022100021,28,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,9,59,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-112,31,1,1,20211022,PHI,BKN
18,Shot Chart Detail,0022100021,31,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,9,31,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,39,52,1,0,20211022,PHI,BKN
19,Shot Chart Detail,0022100021,35,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,9,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,87,235,1,0,20211022,PHI,BKN
20,Shot Chart Detail,0022100021,55,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,7,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-120,26,1,1,20211022,PHI,BKN
21,Shot Chart Detail,0022100021,65,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,5,48,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,72,120,1,0,20211022,PHI,BKN
22,Shot Chart Detail,0022100021,266,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,4,33,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-45,93,1,0,20211022,PHI,BKN
23,Shot Chart Detail,0022100021,350,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,11,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,164,204,1,0,20211022,PHI,BKN
24,Shot Chart Detail,0022100021,378,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,31,254,1,1,20211022,PHI,BKN
25,Shot Chart Detail,0022100021,390,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,6,59,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,5,1,1,20211022,PHI,BKN
26,Shot Chart Detail,0022100021,404,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,5,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-154,197,1,1,20211022,PHI,BKN
27,Shot Chart Detail,0022100021,440,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,2,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,148,41,1,1,20211022,PHI,BKN
28,Shot Chart Detail,0022100021,442,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,1,54,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,158,109,1,0,20211022,PHI,BKN
29,Shot Chart Detail,0022100021,598,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,2,37,Missed Shot,Step Back Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,33,127,1,0,20211022,PHI,BKN
30,Shot Chart Detail,0022100021,616,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,1,4,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,15,1,0,20211022,PHI,BKN
31,Shot Chart Detail,0022100021,676,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,64,258,1,0,20211022,PHI,BKN
32,Shot Chart Detail,0022100038,7,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,11,43,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,85,85,1,0,20211024,OKC,PHI
33,Shot Chart Detail,0022100038,76,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,5,21,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,146,110,1,0,20211024,OKC,PHI
34,Shot Chart Detail,0022100038,120,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,2,21,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-20,49,1,1,20211024,OKC,PHI
35,Shot Chart Detail,0022100038,124,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,1,57,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,21,1,1,20211024,OKC,PHI
36,Shot Chart Detail,0022100038,290,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,1,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,184,183,1,1,20211024,OKC,PHI
37,Shot Chart Detail,0022100038,301,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,0,2,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,53,48,1,0,20211024,OKC,PHI
38,Shot Chart Detail,0022100038,307,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,11,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-85,242,1,0,20211024,OKC,PHI
39,Shot Chart Detail,0022100038,316,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,10,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,219,130,1,0,20211024,OKC,PHI
40,Shot Chart Detail,0022100038,331,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,9,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,26,156,1,1,20211024,OKC,PHI
41,Shot Chart Detail,0022100038,363,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,5,30,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,50,1,1,20211024,OKC,PHI
42,Shot Chart Detail,0022100038,402,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,3,17,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,135,9,1,0,20211024,OKC,PHI
43,Shot Chart Detail,0022100038,412,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,2,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,137,209,1,1,20211024,OKC,PHI
44,Shot Chart Detail,0022100038,573,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,3,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-113,239,1,0,20211024,OKC,PHI
45,Shot Chart Detail,0022100038,587,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,2,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,36,1,1,20211024,OKC,PHI
