,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100009,15,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,1,10,25,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,0,20211020,NOP,PHI
1,Shot Chart Detail,0022100009,17,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,1,10,18,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211020,NOP,PHI
2,Shot Chart Detail,0022100009,32,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,1,8,44,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20211020,NOP,PHI
3,Shot Chart Detail,0022100009,36,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,1,8,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,12,1,0,20211020,NOP,PHI
4,Shot Chart Detail,0022100009,235,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,6,11,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,2,89,1,0,20211020,NOP,PHI
5,Shot Chart Detail,0022100009,267,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,4,16,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,4,106,1,1,20211020,NOP,PHI
6,Shot Chart Detail,0022100009,271,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,3,39,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,28,1,0,20211020,NOP,PHI
7,Shot Chart Detail,0022100009,274,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,3,13,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,0,101,1,0,20211020,NOP,PHI
8,Shot Chart Detail,0022100009,289,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,2,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,6,253,1,1,20211020,NOP,PHI
9,Shot Chart Detail,0022100009,305,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,0,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,11,1,0,20211020,NOP,PHI
10,Shot Chart Detail,0022100009,307,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,0,51,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211020,NOP,PHI
11,Shot Chart Detail,0022100009,309,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,0,48,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211020,NOP,PHI
12,Shot Chart Detail,0022100009,326,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,11,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,9,1,0,20211020,NOP,PHI
