,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,145,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,1,1,38,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-142,73,1,0,20211019,MIL,BKN
1,Shot Chart Detail,0022100001,160,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,1,0,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,14,1,1,20211019,MIL,BKN
2,Shot Chart Detail,0022100001,185,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,2,10,36,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,93,245,1,0,20211019,MIL,BKN
3,Shot Chart Detail,0022100001,196,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,2,9,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-194,184,1,1,20211019,MIL,BKN
4,Shot Chart Detail,0022100001,224,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,2,7,31,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-7,263,1,0,20211019,MIL,BKN
5,Shot Chart Detail,0022100001,317,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,2,0,50,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,0,20211019,MIL,BKN
6,Shot Chart Detail,0022100001,324,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-240,27,1,0,20211019,MIL,BKN
7,Shot Chart Detail,0022100001,416,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,3,5,45,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-131,232,1,1,20211019,MIL,BKN
8,Shot Chart Detail,0022100001,471,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,3,3,0,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,181,115,1,0,20211019,MIL,BKN
9,Shot Chart Detail,0022100001,505,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,3,1,13,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,0,20211019,MIL,BKN
