,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100009,52,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,6,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,47,148,1,1,20211020,NOP,PHI
1,Shot Chart Detail,0022100009,194,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,8,38,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20211020,NOP,PHI
2,Shot Chart Detail,0022100074,127,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,1,28,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,-13,1,0,20211029,NOP,SAC
3,Shot Chart Detail,0022100074,167,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,10,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,6,1,1,20211029,NOP,SAC
4,Shot Chart Detail,0022100074,196,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,9,23,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20211029,NOP,SAC
5,Shot Chart Detail,0022100074,241,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,5,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,223,125,1,0,20211029,NOP,SAC
6,Shot Chart Detail,0022100074,487,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,0,20,Missed Shot,Floating Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-163,234,1,0,20211029,NOP,SAC
7,Shot Chart Detail,0022100074,518,1628404,Josh Hart,1610612740,New Orleans Pelicans,4,10,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,26,1,1,20211029,NOP,SAC
8,Shot Chart Detail,0022100080,15,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,10,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20211030,NOP,NYK
9,Shot Chart Detail,0022100080,38,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,8,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20211030,NOP,NYK
10,Shot Chart Detail,0022100080,74,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,4,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,1,1,0,20211030,NOP,NYK
11,Shot Chart Detail,0022100080,240,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,6,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,115,235,1,0,20211030,NOP,NYK
12,Shot Chart Detail,0022100080,284,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,2,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,5,1,1,20211030,NOP,NYK
13,Shot Chart Detail,0022100080,299,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,0,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,8,1,1,20211030,NOP,NYK
14,Shot Chart Detail,0022100080,332,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,9,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-105,242,1,1,20211030,NOP,NYK
15,Shot Chart Detail,0022100080,634,1628404,Josh Hart,1610612740,New Orleans Pelicans,4,0,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-2,1,1,20211030,NOP,NYK
16,Shot Chart Detail,0022100106,21,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,10,37,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,42,63,1,0,20211102,PHX,NOP
17,Shot Chart Detail,0022100106,37,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,8,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,21,1,1,20211102,PHX,NOP
18,Shot Chart Detail,0022100106,67,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,5,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,167,218,1,1,20211102,PHX,NOP
19,Shot Chart Detail,0022100106,80,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,4,9,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-51,47,1,0,20211102,PHX,NOP
20,Shot Chart Detail,0022100106,300,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,2,18,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,130,158,1,1,20211102,PHX,NOP
21,Shot Chart Detail,0022100106,316,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,0,12,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,28,1,1,20211102,PHX,NOP
22,Shot Chart Detail,0022100106,376,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,7,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-157,206,1,0,20211102,PHX,NOP
23,Shot Chart Detail,0022100106,399,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,5,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,164,192,1,0,20211102,PHX,NOP
24,Shot Chart Detail,0022100106,566,1628404,Josh Hart,1610612740,New Orleans Pelicans,4,6,50,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,39,32,1,1,20211102,PHX,NOP
25,Shot Chart Detail,0022100106,629,1628404,Josh Hart,1610612740,New Orleans Pelicans,4,1,35,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,59,1,1,20211102,PHX,NOP
26,Shot Chart Detail,0022100106,644,1628404,Josh Hart,1610612740,New Orleans Pelicans,4,0,33,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,69,253,1,0,20211102,PHX,NOP
27,Shot Chart Detail,0022100118,27,1628404,Josh Hart,1610612740,New Orleans Pelicans,1,9,53,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,17,1,0,20211103,SAC,NOP
28,Shot Chart Detail,0022100118,217,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,7,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-164,199,1,0,20211103,SAC,NOP
29,Shot Chart Detail,0022100118,235,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,5,16,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-28,9,1,0,20211103,SAC,NOP
30,Shot Chart Detail,0022100118,250,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,4,39,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,29,252,1,0,20211103,SAC,NOP
31,Shot Chart Detail,0022100118,270,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,2,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,5,1,1,20211103,SAC,NOP
32,Shot Chart Detail,0022100118,299,1628404,Josh Hart,1610612740,New Orleans Pelicans,2,0,28,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,13,1,1,20211103,SAC,NOP
33,Shot Chart Detail,0022100118,345,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,9,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-213,136,1,1,20211103,SAC,NOP
34,Shot Chart Detail,0022100118,371,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,7,1,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,1,20211103,SAC,NOP
35,Shot Chart Detail,0022100118,385,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,6,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,10,1,0,20211103,SAC,NOP
36,Shot Chart Detail,0022100118,438,1628404,Josh Hart,1610612740,New Orleans Pelicans,3,2,8,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-4,94,1,0,20211103,SAC,NOP
