,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,21,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,10,37,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,33,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,70,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,7,25,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,25,50,1,0,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,90,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,5,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-4,1,1,20211020,MIN,HOU
3,Shot Chart Detail,0022100008,290,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,4,31,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20211020,MIN,HOU
4,Shot Chart Detail,0022100008,583,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,4,8,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,10,1,0,20211020,MIN,HOU
5,Shot Chart Detail,0022100031,334,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,2,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-136,23,1,0,20211023,MIN,NOP
6,Shot Chart Detail,0022100047,45,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,8,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,16,1,0,20211025,MIN,NOP
7,Shot Chart Detail,0022100047,399,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,9,21,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,0,20211025,MIN,NOP
8,Shot Chart Detail,0022100087,141,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,1,26,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,29,1,0,20211030,MIN,DEN
9,Shot Chart Detail,0022100087,151,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,0,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,1,20211030,MIN,DEN
10,Shot Chart Detail,0022100087,421,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,7,2,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,1,1,0,20211030,MIN,DEN
11,Shot Chart Detail,0022100087,511,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,217,126,1,0,20211030,MIN,DEN
12,Shot Chart Detail,0022100101,195,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,11,31,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,15,1,0,20211101,MIN,ORL
13,Shot Chart Detail,0022100115,17,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,11,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,174,176,1,0,20211103,MIN,LAC
14,Shot Chart Detail,0022100115,37,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,9,10,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,8,1,0,20211103,MIN,LAC
15,Shot Chart Detail,0022100115,64,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,6,6,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,6,1,1,20211103,MIN,LAC
16,Shot Chart Detail,0022100115,296,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,11,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,35,1,1,20211103,MIN,LAC
17,Shot Chart Detail,0022100115,299,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,10,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-132,214,1,1,20211103,MIN,LAC
18,Shot Chart Detail,0022100115,303,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,10,14,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,20211103,MIN,LAC
19,Shot Chart Detail,0022100115,309,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,9,45,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,0,20211103,MIN,LAC
20,Shot Chart Detail,0022100115,327,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,8,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,41,1,0,20211103,MIN,LAC
21,Shot Chart Detail,0022100149,267,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,4,48,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,32,1,1,20211108,MEM,MIN
22,Shot Chart Detail,0022100149,304,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,1,33,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211108,MEM,MIN
23,Shot Chart Detail,0022100184,206,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,7,12,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,26,1,0,20211112,LAL,MIN
24,Shot Chart Detail,0022100191,435,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,3,2,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,36,1,1,20211113,LAC,MIN
25,Shot Chart Detail,0022100191,514,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,4,8,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,235,82,1,0,20211113,LAC,MIN
26,Shot Chart Detail,0022100191,520,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,4,8,23,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,31,1,0,20211113,LAC,MIN
27,Shot Chart Detail,0022100191,537,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,4,7,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,229,87,1,1,20211113,LAC,MIN
28,Shot Chart Detail,0022100206,97,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,4,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,12,1,0,20211115,MIN,PHX
29,Shot Chart Detail,0022100206,147,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,1,0,43,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,5,1,0,20211115,MIN,PHX
30,Shot Chart Detail,0022100206,188,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,10,32,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,5,1,0,20211115,MIN,PHX
31,Shot Chart Detail,0022100281,258,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,2,4,7,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,27,1,1,20211126,CHA,MIN
32,Shot Chart Detail,0022100281,661,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,4,1,49,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,12,1,1,20211126,CHA,MIN
33,Shot Chart Detail,0022100281,676,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,4,0,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,194,164,1,0,20211126,CHA,MIN
