,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100001,55,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,7,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,124,240,1,1,20211019,MIL,BKN
1,Shot Chart Detail,0022100001,121,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,3,22,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-88,253,1,1,20211019,MIL,BKN
2,Shot Chart Detail,0022100001,179,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,11,28,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-141,-4,1,1,20211019,MIL,BKN
3,Shot Chart Detail,0022100001,213,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,8,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1,20211019,MIL,BKN
4,Shot Chart Detail,0022100001,216,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,8,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-74,255,1,0,20211019,MIL,BKN
5,Shot Chart Detail,0022100001,245,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,6,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-140,225,1,0,20211019,MIL,BKN
6,Shot Chart Detail,0022100001,268,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,4,47,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,77,143,1,1,20211019,MIL,BKN
7,Shot Chart Detail,0022100032,21,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,10,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,136,220,1,0,20211023,SAS,MIL
8,Shot Chart Detail,0022100032,54,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,7,31,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,-4,1,1,20211023,SAS,MIL
9,Shot Chart Detail,0022100032,66,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,6,52,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-1,64,1,1,20211023,SAS,MIL
10,Shot Chart Detail,0022100032,187,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,9,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,0,20211023,SAS,MIL
11,Shot Chart Detail,0022100032,191,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,9,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-107,232,1,1,20211023,SAS,MIL
12,Shot Chart Detail,0022100032,349,201950,Jrue Holiday,1610612749,Milwaukee Bucks,3,10,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,0,20211023,SAS,MIL
13,Shot Chart Detail,0022100032,364,201950,Jrue Holiday,1610612749,Milwaukee Bucks,3,9,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,19,1,1,20211023,SAS,MIL
14,Shot Chart Detail,0022100032,520,201950,Jrue Holiday,1610612749,Milwaukee Bucks,4,9,47,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,33,240,1,1,20211023,SAS,MIL
15,Shot Chart Detail,0022100032,551,201950,Jrue Holiday,1610612749,Milwaukee Bucks,4,8,6,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-85,51,1,1,20211023,SAS,MIL
16,Shot Chart Detail,0022100128,79,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,5,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,26,1,1,20211105,MIL,NYK
17,Shot Chart Detail,0022100128,98,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,4,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,229,120,1,0,20211105,MIL,NYK
18,Shot Chart Detail,0022100128,126,201950,Jrue Holiday,1610612749,Milwaukee Bucks,1,1,51,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,129,17,1,0,20211105,MIL,NYK
19,Shot Chart Detail,0022100128,282,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,5,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,29,99,1,1,20211105,MIL,NYK
