,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100471,688,1628382,Justin Jackson,1610612738,Boston Celtics,4,1,25,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-174,117,1,0,20211222,BOS,CLE
1,Shot Chart Detail,0022100565,193,1628382,Justin Jackson,1610612756,Phoenix Suns,2,11,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,153,216,1,0,20220104,NOP,PHX
2,Shot Chart Detail,0022100581,148,1628382,Justin Jackson,1610612756,Phoenix Suns,2,11,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,223,-8,1,1,20220106,PHX,LAC
3,Shot Chart Detail,0022100581,159,1628382,Justin Jackson,1610612756,Phoenix Suns,2,10,21,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-55,31,1,1,20220106,PHX,LAC
4,Shot Chart Detail,0022100581,176,1628382,Justin Jackson,1610612756,Phoenix Suns,2,9,13,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,66,255,1,0,20220106,PHX,LAC
5,Shot Chart Detail,0022100581,664,1628382,Justin Jackson,1610612756,Phoenix Suns,4,0,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-157,199,1,1,20220106,PHX,LAC
6,Shot Chart Detail,0022100596,496,1628382,Justin Jackson,1610612756,Phoenix Suns,3,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-99,253,1,1,20220108,PHX,MIA
7,Shot Chart Detail,0022100596,625,1628382,Justin Jackson,1610612756,Phoenix Suns,4,3,53,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,42,1,1,20220108,PHX,MIA
8,Shot Chart Detail,0022100798,529,1628382,Justin Jackson,1610612756,Phoenix Suns,4,7,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-234,98,1,0,20220205,WAS,PHX
9,Shot Chart Detail,0022100798,571,1628382,Justin Jackson,1610612756,Phoenix Suns,4,5,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,143,245,1,0,20220205,WAS,PHX
10,Shot Chart Detail,0022100798,599,1628382,Justin Jackson,1610612756,Phoenix Suns,4,2,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,240,93,1,0,20220205,WAS,PHX
11,Shot Chart Detail,0022100798,607,1628382,Justin Jackson,1610612756,Phoenix Suns,4,2,40,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,167,95,1,0,20220205,WAS,PHX
12,Shot Chart Detail,0022100798,629,1628382,Justin Jackson,1610612756,Phoenix Suns,4,0,24,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,11,101,1,0,20220205,WAS,PHX
13,Shot Chart Detail,0022100812,661,1628382,Justin Jackson,1610612756,Phoenix Suns,4,0,53,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-13,55,1,0,20220207,CHI,PHX
14,Shot Chart Detail,0022100812,667,1628382,Justin Jackson,1610612756,Phoenix Suns,4,0,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-158,185,1,0,20220207,CHI,PHX
