,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100016,135,1626159,Justise Winslow,1610612746,LA Clippers,1,1,24,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,8,1,1,20211021,GSW,LAC
1,Shot Chart Detail,0022100016,550,1626159,Justise Winslow,1610612746,LA Clippers,4,10,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,1,1,1,20211021,GSW,LAC
2,Shot Chart Detail,0022100016,560,1626159,Justise Winslow,1610612746,LA Clippers,4,9,35,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,51,1,0,20211021,GSW,LAC
3,Shot Chart Detail,0022100016,562,1626159,Justise Winslow,1610612746,LA Clippers,4,9,32,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,15,1,0,20211021,GSW,LAC
4,Shot Chart Detail,0022100049,148,1626159,Justise Winslow,1610612746,LA Clippers,1,0,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,18,1,1,20211025,LAC,POR
5,Shot Chart Detail,0022100049,473,1626159,Justise Winslow,1610612746,LA Clippers,3,2,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,1,20211025,LAC,POR
6,Shot Chart Detail,0022100049,497,1626159,Justise Winslow,1610612746,LA Clippers,3,1,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,17,50,1,0,20211025,LAC,POR
7,Shot Chart Detail,0022100049,527,1626159,Justise Winslow,1610612746,LA Clippers,4,11,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,10,1,0,20211025,LAC,POR
8,Shot Chart Detail,0022100049,540,1626159,Justise Winslow,1610612746,LA Clippers,4,10,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-234,108,1,0,20211025,LAC,POR
9,Shot Chart Detail,0022100049,598,1626159,Justise Winslow,1610612746,LA Clippers,4,6,43,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,27,34,1,0,20211025,LAC,POR
