,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100015,631,1629644,KZ Okpala,1610612748,Miami Heat,4,7,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-191,180,1,1,20211021,MIA,MIL
1,Shot Chart Detail,0022100015,664,1629644,KZ Okpala,1610612748,Miami Heat,4,4,55,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-49,35,1,0,20211021,MIA,MIL
2,Shot Chart Detail,0022100207,228,1629644,KZ Okpala,1610612748,Miami Heat,2,6,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,-17,1,0,20211115,OKC,MIA
3,Shot Chart Detail,0022100207,273,1629644,KZ Okpala,1610612748,Miami Heat,2,3,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,0,20211115,OKC,MIA
4,Shot Chart Detail,0022100207,275,1629644,KZ Okpala,1610612748,Miami Heat,2,3,26,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,18,1,0,20211115,OKC,MIA
5,Shot Chart Detail,0022100207,404,1629644,KZ Okpala,1610612748,Miami Heat,3,4,2,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,12,94,1,1,20211115,OKC,MIA
6,Shot Chart Detail,0022100207,449,1629644,KZ Okpala,1610612748,Miami Heat,3,0,43,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,1,20211115,OKC,MIA
7,Shot Chart Detail,0022100207,452,1629644,KZ Okpala,1610612748,Miami Heat,3,0,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,170,189,1,0,20211115,OKC,MIA
8,Shot Chart Detail,0022100207,543,1629644,KZ Okpala,1610612748,Miami Heat,4,5,25,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,20,100,1,0,20211115,OKC,MIA
9,Shot Chart Detail,0022100207,545,1629644,KZ Okpala,1610612748,Miami Heat,4,5,20,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211115,OKC,MIA
10,Shot Chart Detail,0022100207,564,1629644,KZ Okpala,1610612748,Miami Heat,4,3,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,-20,1,0,20211115,OKC,MIA
11,Shot Chart Detail,0022100217,23,1629644,KZ Okpala,1610612748,Miami Heat,1,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,202,153,1,0,20211117,MIA,NOP
12,Shot Chart Detail,0022100217,121,1629644,KZ Okpala,1610612748,Miami Heat,1,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,165,216,1,0,20211117,MIA,NOP
13,Shot Chart Detail,0022100217,124,1629644,KZ Okpala,1610612748,Miami Heat,1,2,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,110,241,1,0,20211117,MIA,NOP
