,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100281,679,1630539,Kai Jones,1610612766,Charlotte Hornets,4,0,21,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,20,1,1,20211126,CHA,MIN
1,Shot Chart Detail,0022100382,509,1630539,Kai Jones,1610612766,Charlotte Hornets,4,10,25,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,67,1,0,20211210,CHA,SAC
2,Shot Chart Detail,0022100382,546,1630539,Kai Jones,1610612766,Charlotte Hornets,4,7,16,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211210,CHA,SAC
3,Shot Chart Detail,0022100423,612,1630539,Kai Jones,1610612766,Charlotte Hornets,4,1,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,218,141,1,0,20211215,SAS,CHA
4,Shot Chart Detail,0022100501,619,1630539,Kai Jones,1610612766,Charlotte Hornets,4,0,26,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,8,1,1,20211227,CHA,HOU
5,Shot Chart Detail,0022100549,663,1630539,Kai Jones,1610612766,Charlotte Hornets,4,2,7,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,20220102,CHA,PHX
6,Shot Chart Detail,0022100703,689,1630539,Kai Jones,1610612766,Charlotte Hornets,4,0,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,207,26,1,0,20220123,CHA,ATL
7,Shot Chart Detail,0022100715,648,1630539,Kai Jones,1610612766,Charlotte Hornets,4,1,56,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20220125,TOR,CHA
8,Shot Chart Detail,0022100723,758,1630539,Kai Jones,1610612766,Charlotte Hornets,4,0,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,67,1,1,20220126,IND,CHA
9,Shot Chart Detail,0022100838,700,1630539,Kai Jones,1610612766,Charlotte Hornets,4,1,2,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,13,134,1,0,20220211,DET,CHA
10,Shot Chart Detail,0022100838,707,1630539,Kai Jones,1610612766,Charlotte Hornets,4,0,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,8,1,1,20220211,DET,CHA
11,Shot Chart Detail,0022100924,724,1630539,Kai Jones,1610612766,Charlotte Hornets,4,1,32,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-25,67,1,0,20220228,MIL,CHA
12,Shot Chart Detail,0022100924,729,1630539,Kai Jones,1610612766,Charlotte Hornets,4,1,14,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20220228,MIL,CHA
13,Shot Chart Detail,0022101196,667,1630539,Kai Jones,1610612766,Charlotte Hornets,4,1,22,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20220407,CHA,ORL
