,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100010,674,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,2,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,1,1,1,20211020,SAS,ORL
1,Shot Chart Detail,0022100010,682,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,1,27,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-28,5,1,1,20211020,SAS,ORL
2,Shot Chart Detail,0022100010,695,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-188,167,1,1,20211020,SAS,ORL
3,Shot Chart Detail,0022100032,685,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,0,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,151,215,1,0,20211023,SAS,MIL
4,Shot Chart Detail,0022100053,158,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,1,41,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,36,1,1,20211026,SAS,LAL
5,Shot Chart Detail,0022100053,484,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,3,4,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-157,210,1,0,20211026,SAS,LAL
6,Shot Chart Detail,0022100053,538,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,3,0,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-207,3,1,0,20211026,SAS,LAL
7,Shot Chart Detail,0022100053,550,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,11,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,0,20211026,SAS,LAL
8,Shot Chart Detail,0022100053,629,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,5,57,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,16,1,0,20211026,SAS,LAL
9,Shot Chart Detail,0022100053,707,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,0,32,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20211026,SAS,LAL
10,Shot Chart Detail,0022100053,762,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,5,1,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,197,20,1,1,20211026,SAS,LAL
11,Shot Chart Detail,0022100069,110,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,3,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-165,187,1,0,20211028,DAL,SAS
12,Shot Chart Detail,0022100069,130,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,1,23,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,83,21,1,0,20211028,DAL,SAS
13,Shot Chart Detail,0022100069,487,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,11,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,126,111,1,0,20211028,DAL,SAS
14,Shot Chart Detail,0022100085,153,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,0,2,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,37,1,1,20211030,MIL,SAS
15,Shot Chart Detail,0022100095,171,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-157,195,1,0,20211101,IND,SAS
16,Shot Chart Detail,0022100095,194,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,2,10,37,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,6,1,0,20211101,IND,SAS
17,Shot Chart Detail,0022100095,468,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,3,3,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20211101,IND,SAS
18,Shot Chart Detail,0022100095,555,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,9,29,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,23,1,0,20211101,IND,SAS
19,Shot Chart Detail,0022100095,589,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,5,56,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,1,20211101,IND,SAS
20,Shot Chart Detail,0022100095,595,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,5,20,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,18,1,1,20211101,IND,SAS
21,Shot Chart Detail,0022100095,603,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,4,48,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,32,1,1,20211101,IND,SAS
22,Shot Chart Detail,0022100095,612,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,3,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,153,215,1,0,20211101,IND,SAS
23,Shot Chart Detail,0022100095,635,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,2,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,12,1,1,20211101,IND,SAS
24,Shot Chart Detail,0022100125,191,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,2,9,22,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-16,175,1,0,20211105,ORL,SAS
25,Shot Chart Detail,0022100125,451,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,3,2,39,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211105,ORL,SAS
26,Shot Chart Detail,0022100125,510,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,10,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-240,3,1,0,20211105,ORL,SAS
27,Shot Chart Detail,0022100144,140,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,1,35,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,23,1,1,20211107,OKC,SAS
28,Shot Chart Detail,0022100192,237,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,2,5,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,47,1,0,20211114,LAL,SAS
29,Shot Chart Detail,0022100227,484,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,3,0,1,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211118,MIN,SAS
30,Shot Chart Detail,0022100227,519,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,9,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,0,20211118,MIN,SAS
31,Shot Chart Detail,0022100260,22,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,9,52,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211122,SAS,PHX
32,Shot Chart Detail,0022100260,42,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,8,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211122,SAS,PHX
33,Shot Chart Detail,0022100260,333,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,3,11,34,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20211122,SAS,PHX
34,Shot Chart Detail,0022100277,25,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,9,32,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,4,1,0,20211124,SAS,ATL
35,Shot Chart Detail,0022100277,54,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,7,2,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211124,SAS,ATL
36,Shot Chart Detail,0022100277,589,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,3,39,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-12,56,1,0,20211124,SAS,ATL
37,Shot Chart Detail,0022100277,604,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,2,47,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,6,68,1,1,20211124,SAS,ATL
38,Shot Chart Detail,0022100277,624,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,4,0,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,170,176,1,0,20211124,SAS,ATL
39,Shot Chart Detail,0022100287,32,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,9,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,-1,1,0,20211126,SAS,BOS
40,Shot Chart Detail,0022100287,46,1628966,Keita Bates-Diop,1610612759,San Antonio Spurs,1,8,26,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,-4,1,0,20211126,SAS,BOS
