,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100095,141,1629103,Kelan Martin,1610612754,Indiana Pacers,1,2,42,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,21,1,1,20211101,IND,SAS
1,Shot Chart Detail,0022100095,197,1629103,Kelan Martin,1610612754,Indiana Pacers,2,10,9,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,48,1,0,20211101,IND,SAS
2,Shot Chart Detail,0022100095,583,1629103,Kelan Martin,1610612754,Indiana Pacers,4,6,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-145,231,1,1,20211101,IND,SAS
3,Shot Chart Detail,0022100095,608,1629103,Kelan Martin,1610612754,Indiana Pacers,4,3,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,221,147,1,1,20211101,IND,SAS
4,Shot Chart Detail,0022100109,160,1629103,Kelan Martin,1610612754,Indiana Pacers,1,0,46,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,2,1,0,20211103,IND,NYK
5,Shot Chart Detail,0022100109,191,1629103,Kelan Martin,1610612754,Indiana Pacers,2,10,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,244,27,1,1,20211103,IND,NYK
6,Shot Chart Detail,0022100109,197,1629103,Kelan Martin,1610612754,Indiana Pacers,2,9,49,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,44,1,0,20211103,IND,NYK
7,Shot Chart Detail,0022100131,129,1629103,Kelan Martin,1610612754,Indiana Pacers,1,2,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,30,1,1,20211105,POR,IND
8,Shot Chart Detail,0022100131,178,1629103,Kelan Martin,1610612754,Indiana Pacers,2,11,9,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,230,83,1,1,20211105,POR,IND
9,Shot Chart Detail,0022100131,186,1629103,Kelan Martin,1610612754,Indiana Pacers,2,10,20,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,190,157,1,0,20211105,POR,IND
10,Shot Chart Detail,0022100131,195,1629103,Kelan Martin,1610612754,Indiana Pacers,2,9,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,5,1,1,20211105,POR,IND
11,Shot Chart Detail,0022100131,207,1629103,Kelan Martin,1610612754,Indiana Pacers,2,8,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,228,100,1,0,20211105,POR,IND
