,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,607,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,8,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,14,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,610,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,8,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,14,1,1,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,650,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,5,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,1,20211020,MIN,HOU
3,Shot Chart Detail,0022100008,674,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,4,8,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,20211020,MIN,HOU
4,Shot Chart Detail,0022100068,527,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,11,21,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211028,HOU,UTA
5,Shot Chart Detail,0022100068,656,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,2,45,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,13,1,0,20211028,HOU,UTA
6,Shot Chart Detail,0022100068,660,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,2,10,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20211028,HOU,UTA
7,Shot Chart Detail,0022100068,679,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,0,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,136,223,1,0,20211028,HOU,UTA
8,Shot Chart Detail,0022100093,214,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,2,9,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-134,204,1,0,20211031,LAL,HOU
9,Shot Chart Detail,0022100093,554,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,9,57,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,27,34,1,0,20211031,LAL,HOU
10,Shot Chart Detail,0022100093,608,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,6,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,1,20211031,LAL,HOU
11,Shot Chart Detail,0022100093,612,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,6,20,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20211031,LAL,HOU
12,Shot Chart Detail,0022100093,632,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,5,10,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,5,1,1,20211031,LAL,HOU
13,Shot Chart Detail,0022100093,644,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,3,59,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,1,20211031,LAL,HOU
14,Shot Chart Detail,0022100093,683,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,1,39,Made Shot,Running Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,5,1,1,20211031,LAL,HOU
15,Shot Chart Detail,0022100093,707,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,0,36,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,1,20211031,LAL,HOU
16,Shot Chart Detail,0022100107,99,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,1,4,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,162,205,1,1,20211102,LAL,HOU
17,Shot Chart Detail,0022100107,185,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,2,11,34,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,1,20211102,LAL,HOU
18,Shot Chart Detail,0022100107,206,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,2,10,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,152,197,1,1,20211102,LAL,HOU
19,Shot Chart Detail,0022100107,229,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,2,8,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,11,1,1,20211102,LAL,HOU
20,Shot Chart Detail,0022100107,319,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,2,2,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,20,1,1,20211102,LAL,HOU
21,Shot Chart Detail,0022100107,471,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,3,2,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,0,20211102,LAL,HOU
22,Shot Chart Detail,0022100107,580,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,7,10,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,8,1,1,20211102,LAL,HOU
23,Shot Chart Detail,0022100107,609,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,4,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-148,215,1,0,20211102,LAL,HOU
24,Shot Chart Detail,0022100122,701,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,3,2,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,157,211,1,0,20211104,PHX,HOU
25,Shot Chart Detail,0022100122,497,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,3,2,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,21,1,1,20211104,PHX,HOU
26,Shot Chart Detail,0022100122,533,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,4,11,42,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-1,1,1,20211104,PHX,HOU
27,Shot Chart Detail,0022100133,196,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,2,8,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,41,1,0,20211106,DEN,HOU
28,Shot Chart Detail,0022100133,454,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,3,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-189,170,1,1,20211106,DEN,HOU
29,Shot Chart Detail,0022100133,487,1630231,Kenyon Martin Jr.,1610612745,Houston Rockets,3,0,0,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,8,1,1,20211106,DEN,HOU
