,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100210,605,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,7,16,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-121,-4,1,0,20211116,BKN,GSW
1,Shot Chart Detail,0022100210,625,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,5,56,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,169,200,1,0,20211116,BKN,GSW
2,Shot Chart Detail,0022100210,660,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,2,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-186,189,1,1,20211116,BKN,GSW
3,Shot Chart Detail,0022100210,667,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,2,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,22,1,1,20211116,BKN,GSW
4,Shot Chart Detail,0022100210,671,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,1,38,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-216,115,1,0,20211116,BKN,GSW
5,Shot Chart Detail,0022100210,689,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,0,25,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,-2,1,1,20211116,BKN,GSW
6,Shot Chart Detail,0022100413,155,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,0,53,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-219,146,1,1,20211214,BKN,TOR
7,Shot Chart Detail,0022100413,191,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,10,42,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-136,235,1,1,20211214,BKN,TOR
8,Shot Chart Detail,0022100413,267,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,5,53,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,34,1,0,20211214,BKN,TOR
9,Shot Chart Detail,0022100413,347,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,0,32,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211214,BKN,TOR
10,Shot Chart Detail,0022100413,345,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,0,32,Missed Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,1,1,0,20211214,BKN,TOR
11,Shot Chart Detail,0022100413,469,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,2,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,183,182,1,0,20211214,BKN,TOR
12,Shot Chart Detail,0022100413,510,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,11,42,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-16,51,1,1,20211214,BKN,TOR
13,Shot Chart Detail,0022100413,516,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,10,40,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,0,20211214,BKN,TOR
14,Shot Chart Detail,0022100413,518,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,10,36,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211214,BKN,TOR
15,Shot Chart Detail,0022100413,539,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-126,225,1,1,20211214,BKN,TOR
16,Shot Chart Detail,0022100413,548,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,8,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,206,-3,1,1,20211214,BKN,TOR
17,Shot Chart Detail,0022100413,609,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,2,56,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,222,1,1,0,20211214,BKN,TOR
18,Shot Chart Detail,0022100429,111,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,2,29,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,185,172,1,1,20211216,BKN,PHI
19,Shot Chart Detail,0022100429,187,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,9,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-97,170,1,1,20211216,BKN,PHI
20,Shot Chart Detail,0022100429,393,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,7,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,32,1,0,20211216,BKN,PHI
21,Shot Chart Detail,0022100429,435,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,3,9,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,5,1,0,20211216,BKN,PHI
22,Shot Chart Detail,0022100429,437,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,3,7,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211216,BKN,PHI
23,Shot Chart Detail,0022100429,439,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,3,4,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,15,1,1,20211216,BKN,PHI
24,Shot Chart Detail,0022100429,587,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,4,5,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-28,3,1,0,20211216,BKN,PHI
25,Shot Chart Detail,0022100429,589,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,4,2,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211216,BKN,PHI
26,Shot Chart Detail,0022100429,598,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,2,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-92,237,1,0,20211216,BKN,PHI
27,Shot Chart Detail,0022100442,143,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,0,26,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,70,71,1,0,20211218,BKN,ORL
28,Shot Chart Detail,0022100442,157,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,11,43,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20211218,BKN,ORL
29,Shot Chart Detail,0022100442,179,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,9,31,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,38,1,0,20211218,BKN,ORL
30,Shot Chart Detail,0022100442,281,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,1,58,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211218,BKN,ORL
31,Shot Chart Detail,0022100442,291,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,1,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,210,127,1,0,20211218,BKN,ORL
32,Shot Chart Detail,0022100442,303,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,1,4,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,1,20211218,BKN,ORL
33,Shot Chart Detail,0022100442,340,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,10,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,6,260,1,0,20211218,BKN,ORL
34,Shot Chart Detail,0022100442,362,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,8,4,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-28,49,1,0,20211218,BKN,ORL
35,Shot Chart Detail,0022100442,488,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,10,18,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,-6,1,0,20211218,BKN,ORL
36,Shot Chart Detail,0022100442,499,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,9,33,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,31,1,0,20211218,BKN,ORL
37,Shot Chart Detail,0022100442,527,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,173,179,1,1,20211218,BKN,ORL
38,Shot Chart Detail,0022100442,541,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,7,30,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211218,BKN,ORL
39,Shot Chart Detail,0022100442,564,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,5,23,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,2,1,1,20211218,BKN,ORL
40,Shot Chart Detail,0022100453,22,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,10,19,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220126,BKN,DEN
41,Shot Chart Detail,0022100453,35,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,9,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,134,164,1,0,20220126,BKN,DEN
42,Shot Chart Detail,0022100453,45,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,8,17,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,23,1,0,20220126,BKN,DEN
43,Shot Chart Detail,0022100453,76,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,5,22,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20220126,BKN,DEN
44,Shot Chart Detail,0022100453,279,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,3,17,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20220126,BKN,DEN
45,Shot Chart Detail,0022100453,325,1630556,Kessler Edwards,1610612751,Brooklyn Nets,2,0,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,11,1,1,20220126,BKN,DEN
46,Shot Chart Detail,0022100453,633,1630556,Kessler Edwards,1610612751,Brooklyn Nets,4,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,200,145,1,0,20220126,BKN,DEN
47,Shot Chart Detail,0022100464,20,1630556,Kessler Edwards,1610612751,Brooklyn Nets,1,10,23,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-138,211,1,0,20220217,BKN,WAS
48,Shot Chart Detail,0022100464,371,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,10,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,162,208,1,0,20220217,BKN,WAS
49,Shot Chart Detail,0022100464,470,1630556,Kessler Edwards,1610612751,Brooklyn Nets,3,3,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,37,1,0,20220217,BKN,WAS
