,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100014,118,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,3,12,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-9,97,1,1,20211021,ATL,DAL
1,Shot Chart Detail,0022100014,121,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,2,48,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,136,92,1,0,20211021,ATL,DAL
2,Shot Chart Detail,0022100014,137,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,1,56,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-100,151,1,0,20211021,ATL,DAL
3,Shot Chart Detail,0022100014,159,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,0,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-104,232,1,0,20211021,ATL,DAL
4,Shot Chart Detail,0022100014,188,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,9,56,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,181,165,1,0,20211021,ATL,DAL
5,Shot Chart Detail,0022100014,190,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,9,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,10,1,1,20211021,ATL,DAL
6,Shot Chart Detail,0022100014,195,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,9,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-6,127,1,1,20211021,ATL,DAL
7,Shot Chart Detail,0022100014,486,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-93,260,1,0,20211021,ATL,DAL
8,Shot Chart Detail,0022100027,146,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,2,36,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-2,147,1,1,20211023,CLE,ATL
9,Shot Chart Detail,0022100027,154,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,2,17,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,5,125,1,0,20211023,CLE,ATL
10,Shot Chart Detail,0022100027,156,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,2,11,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,0,20211023,CLE,ATL
11,Shot Chart Detail,0022100027,213,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,8,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-207,148,1,0,20211023,CLE,ATL
12,Shot Chart Detail,0022100027,444,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,4,1,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-103,160,1,1,20211023,CLE,ATL
13,Shot Chart Detail,0022100027,451,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,2,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,31,202,238,1,0,20211023,CLE,ATL
14,Shot Chart Detail,0022100027,469,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,1,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,5,268,1,0,20211023,CLE,ATL
15,Shot Chart Detail,0022100027,473,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,1,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-54,184,1,0,20211023,CLE,ATL
16,Shot Chart Detail,0022100027,554,1628989,Kevin Huerter,1610612737,Atlanta Hawks,4,7,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,16,1,0,20211023,CLE,ATL
17,Shot Chart Detail,0022100043,35,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,9,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,20,109,1,1,20211025,ATL,DET
18,Shot Chart Detail,0022100043,231,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,8,19,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-125,142,1,1,20211025,ATL,DET
19,Shot Chart Detail,0022100043,273,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,4,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-146,231,1,1,20211025,ATL,DET
20,Shot Chart Detail,0022100043,291,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,2,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,16,1,0,20211025,ATL,DET
21,Shot Chart Detail,0022100043,301,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,2,6,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-206,146,1,0,20211025,ATL,DET
22,Shot Chart Detail,0022100043,338,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,11,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-224,66,1,1,20211025,ATL,DET
23,Shot Chart Detail,0022100043,392,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,5,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20211025,ATL,DET
24,Shot Chart Detail,0022100043,574,1628989,Kevin Huerter,1610612737,Atlanta Hawks,4,5,21,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,93,38,1,0,20211025,ATL,DET
