,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100063,666,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,4,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,125,220,1,0,20211027,POR,MEM
1,Shot Chart Detail,0022100063,670,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,4,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-102,236,1,0,20211027,POR,MEM
2,Shot Chart Detail,0022100063,691,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,2,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,15,1,0,20211027,POR,MEM
3,Shot Chart Detail,0022100063,715,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,1,22,Missed Shot,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,6,1,0,20211027,POR,MEM
4,Shot Chart Detail,0022100126,565,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,5,22,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,214,151,1,0,20211105,WAS,MEM
5,Shot Chart Detail,0022100126,580,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,4,21,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-64,71,1,0,20211105,WAS,MEM
6,Shot Chart Detail,0022100126,596,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,3,16,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-148,61,1,0,20211105,WAS,MEM
7,Shot Chart Detail,0022100245,634,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,5,17,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,-87,17,1,0,20211120,MIN,MEM
8,Shot Chart Detail,0022100245,645,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,4,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-205,134,1,1,20211120,MIN,MEM
9,Shot Chart Detail,0022100245,649,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,3,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-214,116,1,0,20211120,MIN,MEM
10,Shot Chart Detail,0022100245,694,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,0,3,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-97,20,1,0,20211120,MIN,MEM
11,Shot Chart Detail,0022100285,536,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,10,11,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,12,1,1,20211126,MEM,ATL
12,Shot Chart Detail,0022100285,563,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,7,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-213,126,1,1,20211126,MEM,ATL
13,Shot Chart Detail,0022100285,577,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,6,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,20,1,1,20211126,MEM,ATL
14,Shot Chart Detail,0022100285,620,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,3,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-135,221,1,0,20211126,MEM,ATL
15,Shot Chart Detail,0022100303,615,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,9,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,18,1,0,20211128,MEM,SAC
16,Shot Chart Detail,0022100303,645,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,7,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-205,153,1,0,20211128,MEM,SAC
17,Shot Chart Detail,0022100303,695,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,3,17,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,13,1,1,20211128,MEM,SAC
18,Shot Chart Detail,0022100303,720,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,1,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-146,206,1,1,20211128,MEM,SAC
19,Shot Chart Detail,0022100330,495,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,11,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,2,1,1,20211202,MEM,OKC
20,Shot Chart Detail,0022100330,529,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,8,53,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,73,1,0,20211202,MEM,OKC
21,Shot Chart Detail,0022100330,541,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,7,54,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,5,1,1,20211202,MEM,OKC
22,Shot Chart Detail,0022100330,560,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,6,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-168,202,1,0,20211202,MEM,OKC
23,Shot Chart Detail,0022100373,124,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,3,34,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,9,1,0,20211208,MEM,DAL
24,Shot Chart Detail,0022100373,136,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-147,213,1,1,20211208,MEM,DAL
25,Shot Chart Detail,0022100373,618,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,5,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,134,247,1,1,20211208,MEM,DAL
26,Shot Chart Detail,0022100380,83,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,5,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,22,1,0,20211209,MEM,LAL
27,Shot Chart Detail,0022100380,103,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,4,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,183,176,1,0,20211209,MEM,LAL
28,Shot Chart Detail,0022100380,132,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,1,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-191,195,1,1,20211209,MEM,LAL
29,Shot Chart Detail,0022100380,495,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,1,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-89,242,1,0,20211209,MEM,LAL
30,Shot Chart Detail,0022100380,510,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,0,58,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,17,1,1,20211209,MEM,LAL
31,Shot Chart Detail,0022100380,514,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,0,30,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,39,1,0,20211209,MEM,LAL
32,Shot Chart Detail,0022100380,576,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,7,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,102,246,1,0,20211209,MEM,LAL
33,Shot Chart Detail,0022100395,94,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,5,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-167,210,1,0,20211211,MEM,HOU
34,Shot Chart Detail,0022100395,137,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,1,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-98,231,1,1,20211211,MEM,HOU
35,Shot Chart Detail,0022100395,142,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,0,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-189,159,1,0,20211211,MEM,HOU
36,Shot Chart Detail,0022100395,144,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,0,44,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-97,11,1,1,20211211,MEM,HOU
37,Shot Chart Detail,0022100395,427,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,4,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-121,228,1,1,20211211,MEM,HOU
38,Shot Chart Detail,0022100395,589,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,6,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,6,1,1,20211211,MEM,HOU
39,Shot Chart Detail,0022100409,197,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,9,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-214,110,1,1,20211213,MEM,PHI
40,Shot Chart Detail,0022100409,227,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,7,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,118,226,1,0,20211213,MEM,PHI
41,Shot Chart Detail,0022100409,513,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,9,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,18,1,1,20211213,MEM,PHI
42,Shot Chart Detail,0022100409,517,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,9,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-136,225,1,0,20211213,MEM,PHI
43,Shot Chart Detail,0022100409,521,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,9,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,162,210,1,0,20211213,MEM,PHI
44,Shot Chart Detail,0022100409,593,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,4,47,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,91,16,1,0,20211213,MEM,PHI
45,Shot Chart Detail,0022100409,612,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,3,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-140,220,1,0,20211213,MEM,PHI
46,Shot Chart Detail,0022100426,143,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,1,0,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-110,26,1,1,20211215,POR,MEM
47,Shot Chart Detail,0022100426,214,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,7,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-205,148,1,0,20211215,POR,MEM
48,Shot Chart Detail,0022100440,130,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,3,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,17,1,1,20211217,SAC,MEM
49,Shot Chart Detail,0022100440,142,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,1,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,80,239,1,0,20211217,SAC,MEM
50,Shot Chart Detail,0022100440,186,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,11,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,1,1,0,20211217,SAC,MEM
51,Shot Chart Detail,0022100440,202,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,10,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,14,1,1,20211217,SAC,MEM
52,Shot Chart Detail,0022100440,571,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,45,259,1,1,20211217,SAC,MEM
53,Shot Chart Detail,0022100440,599,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,7,56,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,7,1,0,20211217,SAC,MEM
54,Shot Chart Detail,0022100450,176,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,10,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,27,1,0,20211219,MEM,POR
55,Shot Chart Detail,0022100450,214,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,8,20,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-102,74,1,0,20211219,MEM,POR
56,Shot Chart Detail,0022100460,547,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,9,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,17,1,0,20211220,MEM,OKC
57,Shot Chart Detail,0022100496,113,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,3,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,11,1,0,20211226,SAC,MEM
58,Shot Chart Detail,0022100496,322,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,1,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,-11,1,0,20211226,SAC,MEM
59,Shot Chart Detail,0022100496,468,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,5,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-210,147,1,1,20211226,SAC,MEM
60,Shot Chart Detail,0022100496,610,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,8,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,18,1,0,20211226,SAC,MEM
61,Shot Chart Detail,0022100496,617,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,7,44,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,21,1,0,20211226,SAC,MEM
62,Shot Chart Detail,0022100496,740,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,0,52,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-65,247,1,0,20211226,SAC,MEM
63,Shot Chart Detail,0022100505,140,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,3,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-217,126,1,0,20211227,PHX,MEM
64,Shot Chart Detail,0022100505,174,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,33,-29,330,1,0,20211227,PHX,MEM
65,Shot Chart Detail,0022100505,208,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,8,58,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-89,16,1,1,20211227,PHX,MEM
66,Shot Chart Detail,0022100505,284,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,4,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-196,168,1,0,20211227,PHX,MEM
67,Shot Chart Detail,0022100505,435,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,5,53,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,26,1,1,20211227,PHX,MEM
68,Shot Chart Detail,0022100505,437,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,5,22,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,1,20211227,PHX,MEM
69,Shot Chart Detail,0022100520,109,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,3,57,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-22,52,1,0,20211229,MEM,LAL
70,Shot Chart Detail,0022100520,111,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,3,53,Missed Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211229,MEM,LAL
71,Shot Chart Detail,0022100520,151,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,0,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-124,240,1,0,20211229,MEM,LAL
72,Shot Chart Detail,0022100520,158,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,0,29,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,9,1,0,20211229,MEM,LAL
73,Shot Chart Detail,0022100535,348,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,2,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,115,215,1,1,20211231,MEM,SAS
74,Shot Chart Detail,0022100554,260,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,6,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-222,113,1,0,20220103,BKN,MEM
75,Shot Chart Detail,0022100554,297,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,4,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-167,194,1,0,20220103,BKN,MEM
76,Shot Chart Detail,0022100554,556,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,10,16,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-125,36,1,0,20220103,BKN,MEM
77,Shot Chart Detail,0022100554,587,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,8,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,6,1,0,20220103,BKN,MEM
78,Shot Chart Detail,0022100554,618,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,6,25,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,31,61,1,0,20220103,BKN,MEM
79,Shot Chart Detail,0022100554,665,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,6,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,28,1,0,20220103,BKN,MEM
80,Shot Chart Detail,0022100562,13,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,11,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-4,1,0,20220104,CLE,MEM
81,Shot Chart Detail,0022100562,20,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,10,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,22,1,0,20220104,CLE,MEM
82,Shot Chart Detail,0022100562,71,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,5,58,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-66,26,1,1,20220104,CLE,MEM
83,Shot Chart Detail,0022100562,251,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,4,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-168,199,1,0,20220104,CLE,MEM
84,Shot Chart Detail,0022100562,275,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,2,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,15,1,0,20220104,CLE,MEM
85,Shot Chart Detail,0022100562,331,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,9,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,132,218,1,0,20220104,CLE,MEM
86,Shot Chart Detail,0022100562,353,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,7,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-159,206,1,1,20220104,CLE,MEM
87,Shot Chart Detail,0022100579,128,1629681,Killian Tillie,1610612763,Memphis Grizzlies,1,2,44,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-120,232,1,0,20220106,MEM,DET
88,Shot Chart Detail,0022100579,220,1629681,Killian Tillie,1610612763,Memphis Grizzlies,2,9,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-208,138,1,1,20220106,MEM,DET
89,Shot Chart Detail,0022100579,536,1629681,Killian Tillie,1610612763,Memphis Grizzlies,3,0,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-7,278,1,0,20220106,MEM,DET
90,Shot Chart Detail,0022100579,571,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,10,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,15,1,0,20220106,MEM,DET
91,Shot Chart Detail,0022100579,580,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,9,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-223,32,1,0,20220106,MEM,DET
92,Shot Chart Detail,0022100579,586,1629681,Killian Tillie,1610612763,Memphis Grizzlies,4,9,10,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220106,MEM,DET
