,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100604,12,202691,Klay Thompson,1610612744,Golden State Warriors,1,11,20,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,44,1,1,20220109,GSW,CLE
1,Shot Chart Detail,0022100604,20,202691,Klay Thompson,1610612744,Golden State Warriors,1,11,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,105,249,1,0,20220109,GSW,CLE
2,Shot Chart Detail,0022100604,37,202691,Klay Thompson,1610612744,Golden State Warriors,1,9,19,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-4,1,0,20220109,GSW,CLE
3,Shot Chart Detail,0022100604,47,202691,Klay Thompson,1610612744,Golden State Warriors,1,8,12,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-69,29,1,0,20220109,GSW,CLE
4,Shot Chart Detail,0022100604,49,202691,Klay Thompson,1610612744,Golden State Warriors,1,8,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-126,222,1,0,20220109,GSW,CLE
5,Shot Chart Detail,0022100604,296,202691,Klay Thompson,1610612744,Golden State Warriors,2,3,12,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,44,80,1,0,20220109,GSW,CLE
6,Shot Chart Detail,0022100604,298,202691,Klay Thompson,1610612744,Golden State Warriors,2,2,56,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,7,1,1,20220109,GSW,CLE
7,Shot Chart Detail,0022100604,310,202691,Klay Thompson,1610612744,Golden State Warriors,2,1,38,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,137,59,1,0,20220109,GSW,CLE
8,Shot Chart Detail,0022100604,314,202691,Klay Thompson,1610612744,Golden State Warriors,2,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,167,210,1,1,20220109,GSW,CLE
9,Shot Chart Detail,0022100604,339,202691,Klay Thompson,1610612744,Golden State Warriors,3,11,46,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,126,6,1,1,20220109,GSW,CLE
