,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100470,100,202362,Lance Stephenson,1610612737,Atlanta Hawks,1,3,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,227,58,1,0,20211222,ATL,ORL
1,Shot Chart Detail,0022100470,176,202362,Lance Stephenson,1610612737,Atlanta Hawks,2,11,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,65,168,1,0,20211222,ATL,ORL
2,Shot Chart Detail,0022100470,413,202362,Lance Stephenson,1610612737,Atlanta Hawks,3,4,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-11,201,1,0,20211222,ATL,ORL
3,Shot Chart Detail,0022100470,664,202362,Lance Stephenson,1610612737,Atlanta Hawks,4,0,10,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-1,1,0,20211222,ATL,ORL
4,Shot Chart Detail,0022100478,148,202362,Lance Stephenson,1610612737,Atlanta Hawks,2,10,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-61,254,1,0,20211223,PHI,ATL
5,Shot Chart Detail,0022100478,195,202362,Lance Stephenson,1610612737,Atlanta Hawks,2,7,43,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,5,1,1,20211223,PHI,ATL
6,Shot Chart Detail,0022100478,493,202362,Lance Stephenson,1610612737,Atlanta Hawks,4,9,33,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,93,68,1,0,20211223,PHI,ATL
7,Shot Chart Detail,0022100488,175,202362,Lance Stephenson,1610612737,Atlanta Hawks,2,11,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,37,153,1,1,20211225,NYK,ATL
8,Shot Chart Detail,0022100488,476,202362,Lance Stephenson,1610612737,Atlanta Hawks,4,10,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,-235,86,1,0,20211225,NYK,ATL
9,Shot Chart Detail,0022100502,163,202362,Lance Stephenson,1610612737,Atlanta Hawks,2,9,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20211227,ATL,CHI
10,Shot Chart Detail,0022100519,132,202362,Lance Stephenson,1610612737,Atlanta Hawks,1,0,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-206,-27,1,1,20211229,CHI,ATL
11,Shot Chart Detail,0022100519,170,202362,Lance Stephenson,1610612737,Atlanta Hawks,2,9,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-64,199,1,0,20211229,CHI,ATL
12,Shot Chart Detail,0022100533,201,202362,Lance Stephenson,1610612737,Atlanta Hawks,2,8,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,105,143,1,1,20211231,CLE,ATL
13,Shot Chart Detail,0022100547,119,202362,Lance Stephenson,1610612754,Indiana Pacers,1,1,34,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,159,4,1,1,20220102,CLE,IND
14,Shot Chart Detail,0022100547,131,202362,Lance Stephenson,1610612754,Indiana Pacers,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,176,243,1,0,20220102,CLE,IND
