,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100429,192,204038,Langston Galloway,1610612751,Brooklyn Nets,2,8,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-200,155,1,1,20211216,BKN,PHI
1,Shot Chart Detail,0022100429,204,204038,Langston Galloway,1610612751,Brooklyn Nets,2,7,12,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,4,1,0,20211216,BKN,PHI
2,Shot Chart Detail,0022100442,84,204038,Langston Galloway,1610612751,Brooklyn Nets,1,4,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-44,241,1,0,20211218,BKN,ORL
3,Shot Chart Detail,0022100442,116,204038,Langston Galloway,1610612751,Brooklyn Nets,1,2,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-16,116,1,1,20211218,BKN,ORL
4,Shot Chart Detail,0022100442,131,204038,Langston Galloway,1610612751,Brooklyn Nets,1,1,21,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,-74,95,1,1,20211218,BKN,ORL
5,Shot Chart Detail,0022100442,509,204038,Langston Galloway,1610612751,Brooklyn Nets,4,8,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-91,237,1,0,20211218,BKN,ORL
6,Shot Chart Detail,0022100442,572,204038,Langston Galloway,1610612751,Brooklyn Nets,4,4,55,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,60,1,0,20211218,BKN,ORL
7,Shot Chart Detail,0022100491,269,204038,Langston Galloway,1610612751,Brooklyn Nets,2,6,25,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,210,153,1,0,20211225,LAL,BKN
8,Shot Chart Detail,0022100491,546,204038,Langston Galloway,1610612751,Brooklyn Nets,3,2,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,5,1,1,20211225,LAL,BKN
9,Shot Chart Detail,0022100507,232,204038,Langston Galloway,1610612751,Brooklyn Nets,2,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,116,238,1,1,20211227,LAC,BKN
