,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100881,153,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,2,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,185,195,1,1,20220216,OKC,SAS
1,Shot Chart Detail,0022100881,168,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,0,42,Made Shot,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,48,1,1,20220216,OKC,SAS
2,Shot Chart Detail,0022100881,208,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,2,10,47,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-131,231,1,0,20220216,OKC,SAS
3,Shot Chart Detail,0022100897,96,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,3,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,217,113,1,0,20220225,IND,OKC
4,Shot Chart Detail,0022100897,116,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,2,47,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,27,1,1,20220225,IND,OKC
5,Shot Chart Detail,0022100897,131,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,1,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,190,187,1,0,20220225,IND,OKC
6,Shot Chart Detail,0022100897,463,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,3,4,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,40,257,1,0,20220225,IND,OKC
7,Shot Chart Detail,0022100897,508,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,3,0,0,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,20,1,1,20220225,IND,OKC
8,Shot Chart Detail,0022100897,526,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,4,11,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,11,1,0,20220225,IND,OKC
9,Shot Chart Detail,0022100897,545,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,4,9,28,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,233,86,1,0,20220225,IND,OKC
10,Shot Chart Detail,0022100897,576,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,4,7,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-229,73,1,1,20220225,IND,OKC
11,Shot Chart Detail,0022100925,144,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,140,209,1,0,20220228,OKC,SAC
12,Shot Chart Detail,0022100925,156,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,0,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,35,1,0,20220228,OKC,SAC
13,Shot Chart Detail,0022100925,619,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,4,5,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,33,181,278,1,1,20220228,OKC,SAC
14,Shot Chart Detail,0022100938,142,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,1,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-188,187,1,0,20220302,DEN,OKC
15,Shot Chart Detail,0022100938,259,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,2,5,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-146,226,1,0,20220302,DEN,OKC
16,Shot Chart Detail,0022100938,273,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,2,4,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,189,169,1,1,20220302,DEN,OKC
17,Shot Chart Detail,0022100938,437,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,3,2,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,170,221,1,0,20220302,DEN,OKC
18,Shot Chart Detail,0022100938,487,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,4,11,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,134,233,1,1,20220302,DEN,OKC
19,Shot Chart Detail,0022100951,147,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,1,54,Made Shot,Jump Shot,3PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,219,40,1,1,20220304,OKC,MIN
20,Shot Chart Detail,0022100951,151,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,1,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,157,214,1,0,20220304,OKC,MIN
21,Shot Chart Detail,0022100951,166,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,146,232,1,0,20220304,OKC,MIN
22,Shot Chart Detail,0022100951,182,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,2,11,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,224,26,1,0,20220304,OKC,MIN
23,Shot Chart Detail,0022100951,498,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,3,0,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,192,163,1,0,20220304,OKC,MIN
24,Shot Chart Detail,0022100951,551,1630322,Lindy Waters III,1610612760,Oklahoma City Thunder,4,8,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,202,-21,1,1,20220304,OKC,MIN
