,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100010,127,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,1,3,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,60,237,1,0,20211020,SAS,ORL
1,Shot Chart Detail,0022100010,137,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,1,2,24,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,16,79,1,1,20211020,SAS,ORL
2,Shot Chart Detail,0022100010,193,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,2,10,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-143,211,1,0,20211020,SAS,ORL
3,Shot Chart Detail,0022100010,289,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,2,4,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,1,20211020,SAS,ORL
4,Shot Chart Detail,0022100010,341,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,2,2,0,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-3,1,0,20211020,SAS,ORL
5,Shot Chart Detail,0022100010,377,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,2,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,56,-178,538,1,0,20211020,SAS,ORL
6,Shot Chart Detail,0022100010,477,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,3,4,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-1,159,1,0,20211020,SAS,ORL
7,Shot Chart Detail,0022100010,492,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,3,3,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,29,1,1,20211020,SAS,ORL
8,Shot Chart Detail,0022100010,511,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,3,1,20,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,10,1,0,20211020,SAS,ORL
9,Shot Chart Detail,0022100010,513,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,3,1,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,3,1,1,20211020,SAS,ORL
