,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100303,445,1629663,Louis King,1610612758,Sacramento Kings,3,8,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-89,153,1,1,20211128,MEM,SAC
1,Shot Chart Detail,0022100303,467,1629663,Louis King,1610612758,Sacramento Kings,3,6,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,103,229,1,0,20211128,MEM,SAC
2,Shot Chart Detail,0022100303,498,1629663,Louis King,1610612758,Sacramento Kings,3,4,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-11,255,1,1,20211128,MEM,SAC
3,Shot Chart Detail,0022100303,502,1629663,Louis King,1610612758,Sacramento Kings,3,4,18,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-4,95,1,0,20211128,MEM,SAC
4,Shot Chart Detail,0022100303,526,1629663,Louis King,1610612758,Sacramento Kings,3,2,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,169,183,1,0,20211128,MEM,SAC
5,Shot Chart Detail,0022100303,547,1629663,Louis King,1610612758,Sacramento Kings,3,1,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,59,1,0,20211128,MEM,SAC
6,Shot Chart Detail,0022100303,581,1629663,Louis King,1610612758,Sacramento Kings,4,11,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,82,184,1,0,20211128,MEM,SAC
7,Shot Chart Detail,0022100303,595,1629663,Louis King,1610612758,Sacramento Kings,4,10,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,124,210,1,0,20211128,MEM,SAC
8,Shot Chart Detail,0022100303,682,1629663,Louis King,1610612758,Sacramento Kings,4,4,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-94,248,1,0,20211128,MEM,SAC
9,Shot Chart Detail,0022100303,701,1629663,Louis King,1610612758,Sacramento Kings,4,2,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,124,226,1,1,20211128,MEM,SAC
