,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100014,21,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,10,10,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,71,164,1,1,20211021,ATL,DAL
1,Shot Chart Detail,0022100014,55,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,7,8,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-29,95,1,0,20211021,ATL,DAL
2,Shot Chart Detail,0022100014,57,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,6,54,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-94,250,1,0,20211021,ATL,DAL
3,Shot Chart Detail,0022100014,99,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,4,33,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,154,200,1,1,20211021,ATL,DAL
4,Shot Chart Detail,0022100014,269,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,4,10,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-31,256,1,0,20211021,ATL,DAL
5,Shot Chart Detail,0022100014,328,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,0,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,5,261,1,0,20211021,ATL,DAL
6,Shot Chart Detail,0022100014,333,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,0,12,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,74,99,1,0,20211021,ATL,DAL
7,Shot Chart Detail,0022100014,349,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,10,51,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-126,221,1,0,20211021,ATL,DAL
8,Shot Chart Detail,0022100014,364,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,9,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,11,257,1,0,20211021,ATL,DAL
9,Shot Chart Detail,0022100014,392,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,7,8,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,26,1,0,20211021,ATL,DAL
10,Shot Chart Detail,0022100014,418,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,5,8,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-22,169,1,0,20211021,ATL,DAL
11,Shot Chart Detail,0022100014,444,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,3,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,26,1,1,20211021,ATL,DAL
12,Shot Chart Detail,0022100014,446,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,2,50,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-28,70,1,1,20211021,ATL,DAL
13,Shot Chart Detail,0022100014,463,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,2,23,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,38,57,1,0,20211021,ATL,DAL
14,Shot Chart Detail,0022100014,472,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,1,41,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,94,113,1,0,20211021,ATL,DAL
15,Shot Chart Detail,0022100014,530,1629029,Luka Doncic,1610612742,Dallas Mavericks,4,9,17,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,142,148,1,1,20211021,ATL,DAL
16,Shot Chart Detail,0022100014,558,1629029,Luka Doncic,1610612742,Dallas Mavericks,4,7,0,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-2,265,1,1,20211021,ATL,DAL
17,Shot Chart Detail,0022100029,20,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,9,52,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,40,1,0,20211023,TOR,DAL
18,Shot Chart Detail,0022100029,33,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,8,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,15,256,1,0,20211023,TOR,DAL
19,Shot Chart Detail,0022100029,61,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,5,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,21,64,1,1,20211023,TOR,DAL
20,Shot Chart Detail,0022100029,87,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,4,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,55,263,1,0,20211023,TOR,DAL
21,Shot Chart Detail,0022100029,96,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,3,33,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,84,1,1,20211023,TOR,DAL
22,Shot Chart Detail,0022100029,243,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,7,35,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,21,55,1,0,20211023,TOR,DAL
23,Shot Chart Detail,0022100029,262,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,6,3,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,6,263,1,0,20211023,TOR,DAL
24,Shot Chart Detail,0022100029,301,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,3,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,23,99,1,1,20211023,TOR,DAL
25,Shot Chart Detail,0022100029,329,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,1,43,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-98,31,1,1,20211023,TOR,DAL
26,Shot Chart Detail,0022100029,343,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,0,32,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-87,263,1,0,20211023,TOR,DAL
27,Shot Chart Detail,0022100029,387,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,10,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,172,204,1,0,20211023,TOR,DAL
