,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100519,97,1630792,Malcolm Hill,1610612737,Atlanta Hawks,1,3,15,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,-36,1,1,20211229,CHI,ATL
1,Shot Chart Detail,0022100519,107,1630792,Malcolm Hill,1610612737,Atlanta Hawks,1,2,34,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211229,CHI,ATL
2,Shot Chart Detail,0022100519,129,1630792,Malcolm Hill,1610612737,Atlanta Hawks,1,1,14,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-20,1,1,20211229,CHI,ATL
3,Shot Chart Detail,0022100519,185,1630792,Malcolm Hill,1610612737,Atlanta Hawks,2,8,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,-16,1,1,20211229,CHI,ATL
4,Shot Chart Detail,0022100519,233,1630792,Malcolm Hill,1610612737,Atlanta Hawks,2,5,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,23,1,0,20211229,CHI,ATL
5,Shot Chart Detail,0022100519,240,1630792,Malcolm Hill,1610612737,Atlanta Hawks,2,5,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-105,57,1,0,20211229,CHI,ATL
6,Shot Chart Detail,0022100519,546,1630792,Malcolm Hill,1610612737,Atlanta Hawks,4,7,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-168,180,1,0,20211229,CHI,ATL
7,Shot Chart Detail,0022100519,568,1630792,Malcolm Hill,1610612737,Atlanta Hawks,4,5,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,-119,189,1,1,20211229,CHI,ATL
8,Shot Chart Detail,0022100647,403,1630792,Malcolm Hill,1610612741,Chicago Bulls,3,2,43,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,26,69,1,0,20220115,BOS,CHI
9,Shot Chart Detail,0022100647,406,1630792,Malcolm Hill,1610612741,Chicago Bulls,3,2,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-224,127,1,0,20220115,BOS,CHI
10,Shot Chart Detail,0022100647,443,1630792,Malcolm Hill,1610612741,Chicago Bulls,3,0,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-29,253,1,1,20220115,BOS,CHI
11,Shot Chart Detail,0022100647,466,1630792,Malcolm Hill,1610612741,Chicago Bulls,4,10,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-131,224,1,0,20220115,BOS,CHI
12,Shot Chart Detail,0022100647,586,1630792,Malcolm Hill,1610612741,Chicago Bulls,4,0,46,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,18,57,1,0,20220115,BOS,CHI
13,Shot Chart Detail,0022100658,234,1630792,Malcolm Hill,1610612741,Chicago Bulls,2,6,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-213,147,1,1,20220117,MEM,CHI
14,Shot Chart Detail,0022100658,263,1630792,Malcolm Hill,1610612741,Chicago Bulls,2,4,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,110,220,1,0,20220117,MEM,CHI
15,Shot Chart Detail,0022100658,323,1630792,Malcolm Hill,1610612741,Chicago Bulls,2,0,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,169,179,1,1,20220117,MEM,CHI
