,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100015,706,1630585,Marcus Garrett,1610612748,Miami Heat,4,1,41,Missed Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,19,1,0,20211021,MIA,MIL
1,Shot Chart Detail,0022100419,486,1630585,Marcus Garrett,1610612748,Miami Heat,4,10,28,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-18,126,1,0,20211215,PHI,MIA
2,Shot Chart Detail,0022100433,183,1630585,Marcus Garrett,1610612748,Miami Heat,2,10,18,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,26,1,0,20211217,ORL,MIA
3,Shot Chart Detail,0022100433,491,1630585,Marcus Garrett,1610612748,Miami Heat,4,11,18,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,10,1,0,20211217,ORL,MIA
4,Shot Chart Detail,0022100449,129,1630585,Marcus Garrett,1610612748,Miami Heat,1,2,21,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-34,51,1,1,20211219,DET,MIA
5,Shot Chart Detail,0022100449,536,1630585,Marcus Garrett,1610612748,Miami Heat,4,10,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,167,200,1,1,20211219,DET,MIA
6,Shot Chart Detail,0022100465,255,1630585,Marcus Garrett,1610612748,Miami Heat,2,5,16,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-33,110,1,0,20211221,MIA,IND
7,Shot Chart Detail,0022100465,298,1630585,Marcus Garrett,1610612748,Miami Heat,2,1,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,15,1,0,20211221,MIA,IND
8,Shot Chart Detail,0022100465,641,1630585,Marcus Garrett,1610612748,Miami Heat,4,0,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,88,176,1,1,20211221,MIA,IND
9,Shot Chart Detail,0022100479,118,1630585,Marcus Garrett,1610612748,Miami Heat,1,3,22,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,10,1,1,20211223,MIA,DET
10,Shot Chart Detail,0022100479,174,1630585,Marcus Garrett,1610612748,Miami Heat,1,0,2,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,78,195,1,0,20211223,MIA,DET
11,Shot Chart Detail,0022100479,215,1630585,Marcus Garrett,1610612748,Miami Heat,2,9,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,36,1,0,20211223,MIA,DET
12,Shot Chart Detail,0022100493,157,1630585,Marcus Garrett,1610612748,Miami Heat,2,11,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-9,1,0,20211226,MIA,ORL
13,Shot Chart Detail,0022100493,476,1630585,Marcus Garrett,1610612748,Miami Heat,4,9,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,221,27,1,0,20211226,MIA,ORL
14,Shot Chart Detail,0022100509,138,1630585,Marcus Garrett,1610612748,Miami Heat,1,0,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,9,1,0,20211228,MIA,WAS
15,Shot Chart Detail,0022100509,162,1630585,Marcus Garrett,1610612748,Miami Heat,2,11,36,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,16,1,0,20211228,MIA,WAS
16,Shot Chart Detail,0022100509,164,1630585,Marcus Garrett,1610612748,Miami Heat,2,11,32,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211228,MIA,WAS
17,Shot Chart Detail,0022100509,214,1630585,Marcus Garrett,1610612748,Miami Heat,2,7,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,11,1,1,20211228,MIA,WAS
18,Shot Chart Detail,0022100509,467,1630585,Marcus Garrett,1610612748,Miami Heat,4,11,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20211228,MIA,WAS
19,Shot Chart Detail,0022100509,476,1630585,Marcus Garrett,1610612748,Miami Heat,4,10,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,119,256,1,0,20211228,MIA,WAS
20,Shot Chart Detail,0022100509,526,1630585,Marcus Garrett,1610612748,Miami Heat,4,6,43,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211228,MIA,WAS
