,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100016,90,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,5,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-107,230,1,1,20211021,GSW,LAC
1,Shot Chart Detail,0022100016,97,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,4,6,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,33,74,1,1,20211021,GSW,LAC
2,Shot Chart Detail,0022100016,114,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,2,53,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-39,216,1,0,20211021,GSW,LAC
3,Shot Chart Detail,0022100016,611,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,6,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,217,130,1,0,20211021,GSW,LAC
4,Shot Chart Detail,0022100016,614,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,6,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,152,190,1,0,20211021,GSW,LAC
5,Shot Chart Detail,0022100016,631,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,4,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,183,174,1,0,20211021,GSW,LAC
6,Shot Chart Detail,0022100016,655,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,2,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,1,1,1,20211021,GSW,LAC
7,Shot Chart Detail,0022100034,17,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,10,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,23,163,1,1,20211023,LAC,MEM
8,Shot Chart Detail,0022100034,41,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,7,43,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-2,123,1,1,20211023,LAC,MEM
9,Shot Chart Detail,0022100034,63,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,5,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,165,205,1,0,20211023,LAC,MEM
10,Shot Chart Detail,0022100034,246,202694,Marcus Morris Sr.,1610612746,LA Clippers,2,5,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-161,29,1,1,20211023,LAC,MEM
11,Shot Chart Detail,0022100034,289,202694,Marcus Morris Sr.,1610612746,LA Clippers,2,1,35,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-67,122,1,0,20211023,LAC,MEM
12,Shot Chart Detail,0022100034,349,202694,Marcus Morris Sr.,1610612746,LA Clippers,3,9,41,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-58,100,1,0,20211023,LAC,MEM
13,Shot Chart Detail,0022100034,380,202694,Marcus Morris Sr.,1610612746,LA Clippers,3,7,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,3,1,0,20211023,LAC,MEM
14,Shot Chart Detail,0022100034,547,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,8,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-45,255,1,1,20211023,LAC,MEM
15,Shot Chart Detail,0022100034,576,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,6,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,54,243,1,0,20211023,LAC,MEM
16,Shot Chart Detail,0022100034,578,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,6,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,129,211,1,0,20211023,LAC,MEM
17,Shot Chart Detail,0022100034,632,202694,Marcus Morris Sr.,1610612746,LA Clippers,4,1,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,45,1,0,20211023,LAC,MEM
18,Shot Chart Detail,0022100266,37,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,8,59,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,59,1,1,20211123,LAC,DAL
19,Shot Chart Detail,0022100266,41,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,8,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20211123,LAC,DAL
20,Shot Chart Detail,0022100266,62,202694,Marcus Morris Sr.,1610612746,LA Clippers,1,6,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,212,130,1,0,20211123,LAC,DAL
21,Shot Chart Detail,0022100266,194,202694,Marcus Morris Sr.,1610612746,LA Clippers,2,9,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,83,176,1,1,20211123,LAC,DAL
22,Shot Chart Detail,0022100266,216,202694,Marcus Morris Sr.,1610612746,LA Clippers,2,8,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,213,157,1,0,20211123,LAC,DAL
23,Shot Chart Detail,0022100266,266,202694,Marcus Morris Sr.,1610612746,LA Clippers,2,4,41,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,16,114,1,0,20211123,LAC,DAL
