,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100921,169,1628365,Markelle Fultz,1610612753,Orlando Magic,2,11,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,25,150,1,1,20220228,ORL,IND
1,Shot Chart Detail,0022100921,173,1628365,Markelle Fultz,1610612753,Orlando Magic,2,10,44,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,22,1,0,20220228,ORL,IND
2,Shot Chart Detail,0022100921,195,1628365,Markelle Fultz,1610612753,Orlando Magic,2,8,40,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,8,1,1,20220228,ORL,IND
3,Shot Chart Detail,0022100921,497,1628365,Markelle Fultz,1610612753,Orlando Magic,3,0,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,98,149,1,0,20220228,ORL,IND
4,Shot Chart Detail,0022100921,503,1628365,Markelle Fultz,1610612753,Orlando Magic,3,0,11,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-74,170,1,1,20220228,ORL,IND
5,Shot Chart Detail,0022100921,531,1628365,Markelle Fultz,1610612753,Orlando Magic,4,9,40,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220228,ORL,IND
6,Shot Chart Detail,0022100921,550,1628365,Markelle Fultz,1610612753,Orlando Magic,4,8,2,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,8,1,1,20220228,ORL,IND
7,Shot Chart Detail,0022100933,143,1628365,Markelle Fultz,1610612753,Orlando Magic,1,2,3,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,19,1,0,20220302,ORL,IND
8,Shot Chart Detail,0022100933,168,1628365,Markelle Fultz,1610612753,Orlando Magic,1,0,1,Made Shot,Driving Layup Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-137,90,1,1,20220302,ORL,IND
9,Shot Chart Detail,0022100933,178,1628365,Markelle Fultz,1610612753,Orlando Magic,2,11,34,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,47,110,1,1,20220302,ORL,IND
10,Shot Chart Detail,0022100933,197,1628365,Markelle Fultz,1610612753,Orlando Magic,2,10,21,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,1,1,1,20220302,ORL,IND
11,Shot Chart Detail,0022100933,458,1628365,Markelle Fultz,1610612753,Orlando Magic,3,2,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,28,1,1,20220302,ORL,IND
12,Shot Chart Detail,0022100933,480,1628365,Markelle Fultz,1610612753,Orlando Magic,3,1,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,28,1,1,20220302,ORL,IND
13,Shot Chart Detail,0022100957,104,1628365,Markelle Fultz,1610612753,Orlando Magic,1,3,25,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,25,1,1,20220305,MEM,ORL
14,Shot Chart Detail,0022100957,120,1628365,Markelle Fultz,1610612753,Orlando Magic,1,2,15,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,6,1,0,20220305,MEM,ORL
15,Shot Chart Detail,0022100957,140,1628365,Markelle Fultz,1610612753,Orlando Magic,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,80,192,778,1,0,20220305,MEM,ORL
16,Shot Chart Detail,0022100957,166,1628365,Markelle Fultz,1610612753,Orlando Magic,2,10,29,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-94,116,1,0,20220305,MEM,ORL
17,Shot Chart Detail,0022100957,363,1628365,Markelle Fultz,1610612753,Orlando Magic,3,6,26,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-6,178,1,0,20220305,MEM,ORL
18,Shot Chart Detail,0022100957,491,1628365,Markelle Fultz,1610612753,Orlando Magic,4,10,11,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-60,120,1,1,20220305,MEM,ORL
19,Shot Chart Detail,0022100957,498,1628365,Markelle Fultz,1610612753,Orlando Magic,4,9,44,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-58,16,1,0,20220305,MEM,ORL
20,Shot Chart Detail,0022100957,506,1628365,Markelle Fultz,1610612753,Orlando Magic,4,8,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-219,100,1,0,20220305,MEM,ORL
21,Shot Chart Detail,0022100977,108,1628365,Markelle Fultz,1610612753,Orlando Magic,1,2,14,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-43,176,1,0,20220308,ORL,PHX
22,Shot Chart Detail,0022100977,172,1628365,Markelle Fultz,1610612753,Orlando Magic,2,9,45,Missed Shot,Running Layup Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,93,28,1,0,20220308,ORL,PHX
23,Shot Chart Detail,0022100977,189,1628365,Markelle Fultz,1610612753,Orlando Magic,2,8,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,13,1,1,20220308,ORL,PHX
24,Shot Chart Detail,0022100977,383,1628365,Markelle Fultz,1610612753,Orlando Magic,3,6,12,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,20,100,1,1,20220308,ORL,PHX
