,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100015,163,202693,Markieff Morris,1610612748,Miami Heat,1,1,12,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-123,86,1,0,20211021,MIA,MIL
1,Shot Chart Detail,0022100015,202,202693,Markieff Morris,1610612748,Miami Heat,2,11,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,23,1,1,20211021,MIA,MIL
2,Shot Chart Detail,0022100015,266,202693,Markieff Morris,1610612748,Miami Heat,2,7,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,15,1,1,20211021,MIA,MIL
3,Shot Chart Detail,0022100015,514,202693,Markieff Morris,1610612748,Miami Heat,3,3,49,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-4,132,1,0,20211021,MIA,MIL
4,Shot Chart Detail,0022100015,543,202693,Markieff Morris,1610612748,Miami Heat,3,2,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,174,71,1,0,20211021,MIA,MIL
5,Shot Chart Detail,0022100015,548,202693,Markieff Morris,1610612748,Miami Heat,3,1,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,29,1,0,20211021,MIA,MIL
6,Shot Chart Detail,0022100015,550,202693,Markieff Morris,1610612748,Miami Heat,3,1,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,36,1,0,20211021,MIA,MIL
7,Shot Chart Detail,0022100015,580,202693,Markieff Morris,1610612748,Miami Heat,3,1,15,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,19,1,0,20211021,MIA,MIL
8,Shot Chart Detail,0022100015,564,202693,Markieff Morris,1610612748,Miami Heat,3,0,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,8,1,1,20211021,MIA,MIL
9,Shot Chart Detail,0022100015,599,202693,Markieff Morris,1610612748,Miami Heat,4,9,58,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-94,46,1,0,20211021,MIA,MIL
10,Shot Chart Detail,0022100028,109,202693,Markieff Morris,1610612748,Miami Heat,1,2,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,-183,22,1,0,20211023,IND,MIA
11,Shot Chart Detail,0022100028,260,202693,Markieff Morris,1610612748,Miami Heat,2,10,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,0,20211023,IND,MIA
12,Shot Chart Detail,0022100028,480,202693,Markieff Morris,1610612748,Miami Heat,4,11,47,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20211023,IND,MIA
13,Shot Chart Detail,0022100028,502,202693,Markieff Morris,1610612748,Miami Heat,4,9,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,20,1,0,20211023,IND,MIA
14,Shot Chart Detail,0022100028,519,202693,Markieff Morris,1610612748,Miami Heat,4,8,10,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,22,130,1,0,20211023,IND,MIA
15,Shot Chart Detail,0022100028,537,202693,Markieff Morris,1610612748,Miami Heat,4,6,58,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-26,104,1,1,20211023,IND,MIA
16,Shot Chart Detail,0022100045,138,202693,Markieff Morris,1610612748,Miami Heat,1,1,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-61,177,1,1,20211025,MIA,ORL
17,Shot Chart Detail,0022100045,148,202693,Markieff Morris,1610612748,Miami Heat,1,0,36,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-153,48,1,1,20211025,MIA,ORL
