,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100013,19,203090,Maurice Harkless,1610612758,Sacramento Kings,1,10,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-229,83,1,0,20211020,POR,SAC
1,Shot Chart Detail,0022100013,43,203090,Maurice Harkless,1610612758,Sacramento Kings,1,8,16,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,-2,1,0,20211020,POR,SAC
2,Shot Chart Detail,0022100013,155,203090,Maurice Harkless,1610612758,Sacramento Kings,1,0,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20211020,POR,SAC
3,Shot Chart Detail,0022100013,191,203090,Maurice Harkless,1610612758,Sacramento Kings,2,10,38,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,11,1,1,20211020,POR,SAC
4,Shot Chart Detail,0022100013,221,203090,Maurice Harkless,1610612758,Sacramento Kings,2,8,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,119,225,1,0,20211020,POR,SAC
5,Shot Chart Detail,0022100013,237,203090,Maurice Harkless,1610612758,Sacramento Kings,2,7,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,15,1,0,20211020,POR,SAC
6,Shot Chart Detail,0022100039,39,203090,Maurice Harkless,1610612758,Sacramento Kings,1,8,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,24,1,1,20211024,SAC,GSW
7,Shot Chart Detail,0022100039,48,203090,Maurice Harkless,1610612758,Sacramento Kings,1,7,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,20211024,SAC,GSW
8,Shot Chart Detail,0022100039,55,203090,Maurice Harkless,1610612758,Sacramento Kings,1,6,55,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,14,1,0,20211024,SAC,GSW
9,Shot Chart Detail,0022100039,128,203090,Maurice Harkless,1610612758,Sacramento Kings,1,0,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,9,1,1,20211024,SAC,GSW
10,Shot Chart Detail,0022100039,537,203090,Maurice Harkless,1610612758,Sacramento Kings,4,9,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,20,1,0,20211024,SAC,GSW
