,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100012,30,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,9,36,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-7,171,1,1,20211020,PHX,DEN
1,Shot Chart Detail,0022100012,100,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,3,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,134,109,1,1,20211020,PHX,DEN
2,Shot Chart Detail,0022100012,103,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,3,7,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-15,38,1,0,20211020,PHX,DEN
3,Shot Chart Detail,0022100012,261,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,2,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,174,189,1,1,20211020,PHX,DEN
4,Shot Chart Detail,0022100012,337,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,8,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,32,1,1,20211020,PHX,DEN
5,Shot Chart Detail,0022100012,386,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,5,1,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-96,239,1,1,20211020,PHX,DEN
6,Shot Chart Detail,0022100012,430,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,2,20,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,121,138,1,1,20211020,PHX,DEN
7,Shot Chart Detail,0022100012,574,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,4,23,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,6,1,0,20211020,PHX,DEN
8,Shot Chart Detail,0022100012,591,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,3,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,22,1,0,20211020,PHX,DEN
9,Shot Chart Detail,0022100012,604,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,2,15,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,146,79,1,0,20211020,PHX,DEN
