,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100012,17,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,10,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,227,55,1,0,20211020,PHX,DEN
1,Shot Chart Detail,0022100012,43,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,8,1,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,10,1,1,20211020,PHX,DEN
2,Shot Chart Detail,0022100012,47,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,7,28,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,23,1,0,20211020,PHX,DEN
3,Shot Chart Detail,0022100012,49,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,7,27,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211020,PHX,DEN
4,Shot Chart Detail,0022100012,63,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,6,1,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,69,1,0,20211020,PHX,DEN
5,Shot Chart Detail,0022100012,252,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,3,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-210,126,1,0,20211020,PHX,DEN
6,Shot Chart Detail,0022100012,263,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,2,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-216,109,1,1,20211020,PHX,DEN
7,Shot Chart Detail,0022100012,275,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,1,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-4,1,1,20211020,PHX,DEN
8,Shot Chart Detail,0022100012,306,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,11,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,26,1,0,20211020,PHX,DEN
9,Shot Chart Detail,0022100012,324,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,9,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-62,76,1,1,20211020,PHX,DEN
10,Shot Chart Detail,0022100012,359,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,6,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,167,83,1,0,20211020,PHX,DEN
11,Shot Chart Detail,0022100012,373,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,5,24,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,26,1,0,20211020,PHX,DEN
12,Shot Chart Detail,0022100012,545,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,6,33,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-38,129,1,0,20211020,PHX,DEN
13,Shot Chart Detail,0022100012,549,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,6,19,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,5,1,1,20211020,PHX,DEN
14,Shot Chart Detail,0022100012,552,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,5,45,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-2,1,1,20211020,PHX,DEN
15,Shot Chart Detail,0022100012,612,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,0,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,165,195,1,1,20211020,PHX,DEN
16,Shot Chart Detail,0022100025,20,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,10,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,20,1,1,20211022,LAL,PHX
17,Shot Chart Detail,0022100025,74,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,6,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,24,1,1,20211022,LAL,PHX
18,Shot Chart Detail,0022100025,89,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,5,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,132,248,1,0,20211022,LAL,PHX
19,Shot Chart Detail,0022100025,250,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,6,35,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,115,20,1,1,20211022,LAL,PHX
20,Shot Chart Detail,0022100025,270,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,4,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,14,1,1,20211022,LAL,PHX
21,Shot Chart Detail,0022100025,298,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,2,29,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20211022,LAL,PHX
22,Shot Chart Detail,0022100025,342,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,11,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20211022,LAL,PHX
23,Shot Chart Detail,0022100025,381,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,8,22,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-21,38,1,0,20211022,LAL,PHX
24,Shot Chart Detail,0022100025,585,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,7,56,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,29,130,1,1,20211022,LAL,PHX
25,Shot Chart Detail,0022100025,589,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,7,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-192,157,1,0,20211022,LAL,PHX
26,Shot Chart Detail,0022100025,621,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,5,5,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20211022,LAL,PHX
27,Shot Chart Detail,0022100033,52,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-179,183,1,1,20211023,POR,PHX
28,Shot Chart Detail,0022100033,71,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,5,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,89,158,1,0,20211023,POR,PHX
29,Shot Chart Detail,0022100033,75,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,4,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,44,1,0,20211023,POR,PHX
30,Shot Chart Detail,0022100033,198,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,7,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,91,165,1,0,20211023,POR,PHX
31,Shot Chart Detail,0022100033,217,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,6,18,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,9,147,1,0,20211023,POR,PHX
32,Shot Chart Detail,0022100033,248,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,4,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-206,165,1,1,20211023,POR,PHX
33,Shot Chart Detail,0022100033,332,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,10,30,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20211023,POR,PHX
34,Shot Chart Detail,0022100033,340,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,9,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,1,1,1,20211023,POR,PHX
35,Shot Chart Detail,0022100033,395,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,4,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,223,57,1,1,20211023,POR,PHX
36,Shot Chart Detail,0022100062,44,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,8,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,36,1,1,20211027,PHX,SAC
37,Shot Chart Detail,0022100062,61,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,6,46,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,4,1,1,20211027,PHX,SAC
38,Shot Chart Detail,0022100062,79,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,5,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,100,121,1,1,20211027,PHX,SAC
39,Shot Chart Detail,0022100062,91,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,4,42,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-55,104,1,0,20211027,PHX,SAC
40,Shot Chart Detail,0022100062,277,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,3,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-227,55,1,0,20211027,PHX,SAC
41,Shot Chart Detail,0022100062,382,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,8,10,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,2,72,1,1,20211027,PHX,SAC
42,Shot Chart Detail,0022100062,433,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,3,53,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,53,1,0,20211027,PHX,SAC
43,Shot Chart Detail,0022100062,573,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,7,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,20,1,0,20211027,PHX,SAC
44,Shot Chart Detail,0022100062,598,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,5,55,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,10,1,1,20211027,PHX,SAC
45,Shot Chart Detail,0022100062,608,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,4,48,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,11,117,1,1,20211027,PHX,SAC
