,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100023,469,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,5,38,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,16,1,0,20211022,HOU,OKC
1,Shot Chart Detail,0022100023,477,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,4,56,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,52,1,1,20211022,HOU,OKC
2,Shot Chart Detail,0022100023,493,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,4,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,1,20211022,HOU,OKC
3,Shot Chart Detail,0022100023,508,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,3,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,15,1,1,20211022,HOU,OKC
4,Shot Chart Detail,0022100023,539,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,0,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,39,1,1,20211022,HOU,OKC
5,Shot Chart Detail,0022100023,546,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,0,1,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-98,17,1,1,20211022,HOU,OKC
6,Shot Chart Detail,0022100023,693,203488,Mike Muscala,1610612760,Oklahoma City Thunder,4,1,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-138,32,1,0,20211022,HOU,OKC
7,Shot Chart Detail,0022100038,263,203488,Mike Muscala,1610612760,Oklahoma City Thunder,2,4,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,218,147,1,0,20211024,OKC,PHI
8,Shot Chart Detail,0022100038,382,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,4,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-202,176,1,1,20211024,OKC,PHI
9,Shot Chart Detail,0022100038,449,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,0,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-16,272,1,1,20211024,OKC,PHI
10,Shot Chart Detail,0022100038,554,203488,Mike Muscala,1610612760,Oklahoma City Thunder,4,5,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-146,225,1,1,20211024,OKC,PHI
11,Shot Chart Detail,0022100051,193,203488,Mike Muscala,1610612760,Oklahoma City Thunder,2,9,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-17,1,1,20211026,OKC,GSW
12,Shot Chart Detail,0022100051,441,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,4,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,26,1,1,20211026,OKC,GSW
13,Shot Chart Detail,0022100051,447,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,3,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,150,195,1,0,20211026,OKC,GSW
14,Shot Chart Detail,0022100051,499,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,30,-114,281,1,0,20211026,OKC,GSW
15,Shot Chart Detail,0022100051,639,203488,Mike Muscala,1610612760,Oklahoma City Thunder,4,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,175,188,1,0,20211026,OKC,GSW
16,Shot Chart Detail,0022100086,121,203488,Mike Muscala,1610612760,Oklahoma City Thunder,1,2,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-159,189,1,0,20211030,GSW,OKC
17,Shot Chart Detail,0022100086,166,203488,Mike Muscala,1610612760,Oklahoma City Thunder,2,10,40,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,20,67,1,0,20211030,GSW,OKC
18,Shot Chart Detail,0022100086,402,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,4,33,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20211030,GSW,OKC
19,Shot Chart Detail,0022100086,405,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,4,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-110,-4,1,0,20211030,GSW,OKC
20,Shot Chart Detail,0022100086,447,203488,Mike Muscala,1610612760,Oklahoma City Thunder,3,1,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,-4,1,0,20211030,GSW,OKC
21,Shot Chart Detail,0022100102,126,203488,Mike Muscala,1610612760,Oklahoma City Thunder,1,1,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,38,268,1,0,20211101,LAC,OKC
22,Shot Chart Detail,0022100102,130,203488,Mike Muscala,1610612760,Oklahoma City Thunder,1,1,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-137,1,1,0,20211101,LAC,OKC
23,Shot Chart Detail,0022100102,148,203488,Mike Muscala,1610612760,Oklahoma City Thunder,1,0,49,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,59,34,1,0,20211101,LAC,OKC
24,Shot Chart Detail,0022100102,172,203488,Mike Muscala,1610612760,Oklahoma City Thunder,2,10,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,91,249,1,0,20211101,LAC,OKC
25,Shot Chart Detail,0022100102,186,203488,Mike Muscala,1610612760,Oklahoma City Thunder,2,9,17,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,47,1,1,20211101,LAC,OKC
26,Shot Chart Detail,0022100102,252,203488,Mike Muscala,1610612760,Oklahoma City Thunder,2,5,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-17,257,1,0,20211101,LAC,OKC
27,Shot Chart Detail,0022100102,497,203488,Mike Muscala,1610612760,Oklahoma City Thunder,4,10,50,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,237,66,1,0,20211101,LAC,OKC
