,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100003,60,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,7,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,5,1,1,20211020,CHA,IND
1,Shot Chart Detail,0022100003,84,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,6,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,110,239,1,0,20211020,CHA,IND
2,Shot Chart Detail,0022100003,174,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,1,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-32,257,1,0,20211020,CHA,IND
3,Shot Chart Detail,0022100003,410,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,11,21,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,54,35,1,0,20211020,CHA,IND
4,Shot Chart Detail,0022100003,451,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,8,1,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,116,231,1,1,20211020,CHA,IND
5,Shot Chart Detail,0022100003,501,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,3,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,108,226,1,0,20211020,CHA,IND
6,Shot Chart Detail,0022100003,602,1628970,Miles Bridges,1610612766,Charlotte Hornets,4,9,41,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,36,1,1,20211020,CHA,IND
7,Shot Chart Detail,0022100003,727,1628970,Miles Bridges,1610612766,Charlotte Hornets,4,0,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,1,20211020,CHA,IND
8,Shot Chart Detail,0022100017,13,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,11,1,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,43,1,0,20211022,CLE,CHA
9,Shot Chart Detail,0022100017,24,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,9,58,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,113,215,1,0,20211022,CLE,CHA
10,Shot Chart Detail,0022100017,78,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,5,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,25,1,0,20211022,CLE,CHA
11,Shot Chart Detail,0022100017,175,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,11,32,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20211022,CLE,CHA
12,Shot Chart Detail,0022100017,187,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,10,21,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,10,1,0,20211022,CLE,CHA
13,Shot Chart Detail,0022100017,204,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,9,13,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20211022,CLE,CHA
14,Shot Chart Detail,0022100017,240,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-163,192,1,1,20211022,CLE,CHA
15,Shot Chart Detail,0022100017,244,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,6,37,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,10,1,0,20211022,CLE,CHA
16,Shot Chart Detail,0022100017,259,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,5,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,0,20211022,CLE,CHA
