,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100052,491,1629650,Moses Brown,1610612742,Dallas Mavericks,3,2,28,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,34,1,1,20211026,DAL,HOU
1,Shot Chart Detail,0022100104,661,1629650,Moses Brown,1610612742,Dallas Mavericks,4,0,54,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,1,20211102,DAL,MIA
2,Shot Chart Detail,0022100310,361,1629650,Moses Brown,1610612742,Dallas Mavericks,3,10,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,0,20211129,DAL,CLE
3,Shot Chart Detail,0022100310,364,1629650,Moses Brown,1610612742,Dallas Mavericks,3,9,58,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20211129,DAL,CLE
4,Shot Chart Detail,0022100325,544,1629650,Moses Brown,1610612742,Dallas Mavericks,4,3,23,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,1,1,1,20211201,NOP,DAL
5,Shot Chart Detail,0022100325,594,1629650,Moses Brown,1610612742,Dallas Mavericks,4,0,28,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20211201,NOP,DAL
6,Shot Chart Detail,0022100373,103,1629650,Moses Brown,1610612742,Dallas Mavericks,1,5,26,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,10,1,0,20211208,MEM,DAL
7,Shot Chart Detail,0022100373,427,1629650,Moses Brown,1610612742,Dallas Mavericks,3,5,42,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,20211208,MEM,DAL
8,Shot Chart Detail,0022100373,447,1629650,Moses Brown,1610612742,Dallas Mavericks,3,3,57,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,15,1,0,20211208,MEM,DAL
9,Shot Chart Detail,0022100373,449,1629650,Moses Brown,1610612742,Dallas Mavericks,3,3,54,Missed Shot,Turnaround Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,13,1,0,20211208,MEM,DAL
10,Shot Chart Detail,0022100383,87,1629650,Moses Brown,1610612742,Dallas Mavericks,1,4,59,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,34,1,0,20211210,IND,DAL
11,Shot Chart Detail,0022100383,107,1629650,Moses Brown,1610612742,Dallas Mavericks,1,2,51,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20211210,IND,DAL
12,Shot Chart Detail,0022100383,415,1629650,Moses Brown,1610612742,Dallas Mavericks,3,3,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,18,1,1,20211210,IND,DAL
13,Shot Chart Detail,0022100400,27,1629650,Moses Brown,1610612742,Dallas Mavericks,1,9,53,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1,20211212,OKC,DAL
14,Shot Chart Detail,0022100400,94,1629650,Moses Brown,1610612742,Dallas Mavericks,1,4,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20211212,OKC,DAL
15,Shot Chart Detail,0022100400,234,1629650,Moses Brown,1610612742,Dallas Mavericks,2,6,10,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,4,1,1,20211212,OKC,DAL
