,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100079,622,1628539,Mychal Mulder,1610612753,Orlando Magic,4,3,2,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-44,27,1,0,20211030,DET,ORL
1,Shot Chart Detail,0022100079,625,1628539,Mychal Mulder,1610612753,Orlando Magic,4,2,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,19,1,1,20211030,DET,ORL
2,Shot Chart Detail,0022100079,632,1628539,Mychal Mulder,1610612753,Orlando Magic,4,1,57,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,20,1,0,20211030,DET,ORL
3,Shot Chart Detail,0022100079,646,1628539,Mychal Mulder,1610612753,Orlando Magic,4,1,2,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,24,1,0,20211030,DET,ORL
4,Shot Chart Detail,0022100110,633,1628539,Mychal Mulder,1610612753,Orlando Magic,4,1,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,-18,1,0,20211103,ORL,BOS
5,Shot Chart Detail,0022100159,663,1628539,Mychal Mulder,1610612753,Orlando Magic,4,1,51,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,39,1,0,20211110,ORL,BKN
6,Shot Chart Detail,0022100202,330,1628539,Mychal Mulder,1610612753,Orlando Magic,2,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,151,233,1,0,20211115,ATL,ORL
7,Shot Chart Detail,0022100244,470,1628539,Mychal Mulder,1610612753,Orlando Magic,3,3,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,191,200,1,0,20211120,MIL,ORL
8,Shot Chart Detail,0022100244,489,1628539,Mychal Mulder,1610612753,Orlando Magic,3,1,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-154,211,1,1,20211120,MIL,ORL
9,Shot Chart Detail,0022100244,508,1628539,Mychal Mulder,1610612753,Orlando Magic,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-174,196,1,0,20211120,MIL,ORL
