,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100003,29,1626167,Myles Turner,1610612754,Indiana Pacers,1,9,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-83,237,1,0,20211020,CHA,IND
1,Shot Chart Detail,0022100003,50,1626167,Myles Turner,1610612754,Indiana Pacers,1,8,10,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20211020,CHA,IND
2,Shot Chart Detail,0022100003,137,1626167,Myles Turner,1610612754,Indiana Pacers,1,3,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,15,268,1,1,20211020,CHA,IND
3,Shot Chart Detail,0022100003,414,1626167,Myles Turner,1610612754,Indiana Pacers,3,11,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,20,1,1,20211020,CHA,IND
4,Shot Chart Detail,0022100003,584,1626167,Myles Turner,1610612754,Indiana Pacers,4,11,2,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,59,1,0,20211020,CHA,IND
5,Shot Chart Detail,0022100003,607,1626167,Myles Turner,1610612754,Indiana Pacers,4,9,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-119,230,1,0,20211020,CHA,IND
6,Shot Chart Detail,0022100019,9,1626167,Myles Turner,1610612754,Indiana Pacers,1,11,33,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,13,1,1,20211022,WAS,IND
7,Shot Chart Detail,0022100019,13,1626167,Myles Turner,1610612754,Indiana Pacers,1,10,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,154,121,1,1,20211022,WAS,IND
8,Shot Chart Detail,0022100019,36,1626167,Myles Turner,1610612754,Indiana Pacers,1,9,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,31,195,251,1,0,20211022,WAS,IND
9,Shot Chart Detail,0022100019,42,1626167,Myles Turner,1610612754,Indiana Pacers,1,9,14,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,49,53,1,1,20211022,WAS,IND
