,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,200,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,10,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,252,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,217,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,9,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,499,1629675,Naz Reid,1610612750,Minnesota Timberwolves,3,1,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,15,1,1,20211020,MIN,HOU
3,Shot Chart Detail,0022100008,522,1629675,Naz Reid,1610612750,Minnesota Timberwolves,3,0,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-11,253,1,0,20211020,MIN,HOU
4,Shot Chart Detail,0022100008,639,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,5,33,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,0,20211020,MIN,HOU
5,Shot Chart Detail,0022100031,202,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,10,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-36,267,1,1,20211023,MIN,NOP
6,Shot Chart Detail,0022100031,212,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,9,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,23,1,1,20211023,MIN,NOP
7,Shot Chart Detail,0022100031,243,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,7,39,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,38,1,0,20211023,MIN,NOP
8,Shot Chart Detail,0022100031,268,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,6,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,54,251,1,0,20211023,MIN,NOP
9,Shot Chart Detail,0022100031,459,1629675,Naz Reid,1610612750,Minnesota Timberwolves,3,5,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-1,252,1,0,20211023,MIN,NOP
10,Shot Chart Detail,0022100031,547,1629675,Naz Reid,1610612750,Minnesota Timberwolves,3,0,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,15,1,0,20211023,MIN,NOP
11,Shot Chart Detail,0022100031,555,1629675,Naz Reid,1610612750,Minnesota Timberwolves,3,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,6,1,1,20211023,MIN,NOP
12,Shot Chart Detail,0022100031,654,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,5,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,112,229,1,1,20211023,MIN,NOP
13,Shot Chart Detail,0022100031,679,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,4,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,170,179,1,0,20211023,MIN,NOP
14,Shot Chart Detail,0022100031,705,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,1,40,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-18,40,1,0,20211023,MIN,NOP
15,Shot Chart Detail,0022100031,714,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-53,239,1,0,20211023,MIN,NOP
16,Shot Chart Detail,0022100031,735,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,0,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,22,1,0,20211023,MIN,NOP
17,Shot Chart Detail,0022100047,166,1629675,Naz Reid,1610612750,Minnesota Timberwolves,1,1,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,1,1,1,20211025,MIN,NOP
18,Shot Chart Detail,0022100047,552,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,10,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,17,1,0,20211025,MIN,NOP
19,Shot Chart Detail,0022100047,573,1629675,Naz Reid,1610612750,Minnesota Timberwolves,4,8,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,127,214,1,0,20211025,MIN,NOP
20,Shot Chart Detail,0022100060,182,1629675,Naz Reid,1610612750,Minnesota Timberwolves,2,11,37,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,17,1,1,20211027,MIL,MIN
