,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100440,374,1629674,Neemias Queta,1610612758,Sacramento Kings,2,0,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-87,107,1,0,20211217,SAC,MEM
1,Shot Chart Detail,0022100440,691,1629674,Neemias Queta,1610612758,Sacramento Kings,4,1,35,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211217,SAC,MEM
2,Shot Chart Detail,0022100440,699,1629674,Neemias Queta,1610612758,Sacramento Kings,4,1,5,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,13,1,0,20211217,SAC,MEM
3,Shot Chart Detail,0022100440,715,1629674,Neemias Queta,1610612758,Sacramento Kings,4,1,5,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,0,20211217,SAC,MEM
4,Shot Chart Detail,0022100611,87,1629674,Neemias Queta,1610612758,Sacramento Kings,1,5,2,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-39,92,1,1,20220110,SAC,CLE
5,Shot Chart Detail,0022100611,249,1629674,Neemias Queta,1610612758,Sacramento Kings,2,6,33,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,32,53,1,1,20220110,SAC,CLE
6,Shot Chart Detail,0022100611,266,1629674,Neemias Queta,1610612758,Sacramento Kings,2,5,1,Missed Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,16,1,0,20220110,SAC,CLE
7,Shot Chart Detail,0022100611,409,1629674,Neemias Queta,1610612758,Sacramento Kings,3,5,57,Missed Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,26,46,1,0,20220110,SAC,CLE
8,Shot Chart Detail,0022100611,441,1629674,Neemias Queta,1610612758,Sacramento Kings,3,3,52,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,21,1,1,20220110,SAC,CLE
9,Shot Chart Detail,0022100611,480,1629674,Neemias Queta,1610612758,Sacramento Kings,3,0,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,6,1,0,20220110,SAC,CLE
10,Shot Chart Detail,0022100611,618,1629674,Neemias Queta,1610612758,Sacramento Kings,4,1,29,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220110,SAC,CLE
11,Shot Chart Detail,0022100626,299,1629674,Neemias Queta,1610612758,Sacramento Kings,2,3,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,126,-2,1,0,20220112,SAC,LAL
12,Shot Chart Detail,0022100640,227,1629674,Neemias Queta,1610612758,Sacramento Kings,2,8,18,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220114,SAC,HOU
13,Shot Chart Detail,0022100640,261,1629674,Neemias Queta,1610612758,Sacramento Kings,2,6,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220114,SAC,HOU
14,Shot Chart Detail,0022100640,267,1629674,Neemias Queta,1610612758,Sacramento Kings,2,6,17,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,1,20220114,SAC,HOU
15,Shot Chart Detail,0022100717,540,1629674,Neemias Queta,1610612758,Sacramento Kings,4,6,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,124,159,1,0,20220125,BOS,SAC
16,Shot Chart Detail,0022100717,545,1629674,Neemias Queta,1610612758,Sacramento Kings,4,5,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,23,1,1,20220125,BOS,SAC
17,Shot Chart Detail,0022100717,571,1629674,Neemias Queta,1610612758,Sacramento Kings,4,3,49,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,39,81,1,1,20220125,BOS,SAC
18,Shot Chart Detail,0022100717,606,1629674,Neemias Queta,1610612758,Sacramento Kings,4,0,38,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,30,1,1,20220125,BOS,SAC
