,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100002,171,202357,Nemanja Bjelica,1610612744,Golden State Warriors,1,1,8,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,110,163,1,1,20211019,LAL,GSW
1,Shot Chart Detail,0022100002,173,202357,Nemanja Bjelica,1610612744,Golden State Warriors,1,0,47,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,13,1,1,20211019,LAL,GSW
2,Shot Chart Detail,0022100002,219,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,9,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,10,1,1,20211019,LAL,GSW
3,Shot Chart Detail,0022100002,541,202357,Nemanja Bjelica,1610612744,Golden State Warriors,3,0,36,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211019,LAL,GSW
4,Shot Chart Detail,0022100002,621,202357,Nemanja Bjelica,1610612744,Golden State Warriors,4,7,29,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-135,84,1,1,20211019,LAL,GSW
5,Shot Chart Detail,0022100002,635,202357,Nemanja Bjelica,1610612744,Golden State Warriors,4,6,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,0,20211019,LAL,GSW
6,Shot Chart Detail,0022100002,652,202357,Nemanja Bjelica,1610612744,Golden State Warriors,4,4,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,97,241,1,1,20211019,LAL,GSW
7,Shot Chart Detail,0022100016,95,202357,Nemanja Bjelica,1610612744,Golden State Warriors,1,4,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-5,1,1,20211021,GSW,LAC
8,Shot Chart Detail,0022100016,98,202357,Nemanja Bjelica,1610612744,Golden State Warriors,1,3,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,8,1,1,20211021,GSW,LAC
9,Shot Chart Detail,0022100016,257,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,5,33,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,15,1,1,20211021,GSW,LAC
10,Shot Chart Detail,0022100016,505,202357,Nemanja Bjelica,1610612744,Golden State Warriors,3,0,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,12,1,0,20211021,GSW,LAC
11,Shot Chart Detail,0022100016,507,202357,Nemanja Bjelica,1610612744,Golden State Warriors,3,0,26,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211021,GSW,LAC
12,Shot Chart Detail,0022100039,113,202357,Nemanja Bjelica,1610612744,Golden State Warriors,1,2,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,157,235,1,0,20211024,SAC,GSW
13,Shot Chart Detail,0022100039,147,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,11,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,20,1,0,20211024,SAC,GSW
14,Shot Chart Detail,0022100039,151,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,11,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,163,190,1,0,20211024,SAC,GSW
15,Shot Chart Detail,0022100039,172,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,8,43,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,36,1,0,20211024,SAC,GSW
16,Shot Chart Detail,0022100039,180,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,8,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,27,1,0,20211024,SAC,GSW
17,Shot Chart Detail,0022100051,94,202357,Nemanja Bjelica,1610612744,Golden State Warriors,1,3,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,11,1,1,20211026,OKC,GSW
18,Shot Chart Detail,0022100070,130,202357,Nemanja Bjelica,1610612744,Golden State Warriors,1,2,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,22,1,0,20211028,GSW,MEM
19,Shot Chart Detail,0022100070,175,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,11,29,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211028,GSW,MEM
20,Shot Chart Detail,0022100070,197,202357,Nemanja Bjelica,1610612744,Golden State Warriors,2,8,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,150,231,1,0,20211028,GSW,MEM
